player,birthday,yrs,from,to,pos
Bruce Jankowski,1949-08-12,2,1971,1972,WR
Ray Jarvis,1949-02-02,9,1971,1979,WR
Carl Johnson,1949-12-26,2,1972,1973,T-G
Gordon Jolley,1949-05-22,6,1972,1977,G-T
Lewis Jolley,1949-11-15,2,1972,1973,RB
Horace Jones,1949-07-31,6,1971,1977,DE
Ron Kadziel,1949-02-27,1,1972,1972,LB
Rick Kay,1949-11-10,4,1973,1977,LB
Mike Keller,1949-12-13,1,1972,1972,LB
Rex Kern,1949-05-28,4,1971,1974,DB
Rick Kingrea,1949-07-18,8,1971,1978,LB
Jeff Kinney,1949-11-01,5,1972,1976,RB
Steve Kinney,1949-06-27,2,1973,1974,T
Warren Koegel,1949-11-01,3,1971,1974,C
Kelvin Korver,1949-02-21,3,1973,1975,DT
Gary Kosins,1949-01-21,3,1972,1974,RB
Dan Kratzer,1949-07-07,1,1973,1973,WR
Jim Krieg,1949-05-29,1,1972,1972,WR
Joe Lavender,1949-02-10,10,1973,1982,DB
Larry Lawrence,1949-04-11,3,1974,1976,QB
Roger Lawson,1949-09-28,2,1972,1973,RB
Steve Lawson,1949-01-04,7,1971,1977,G
Mike Lewis,1949-07-14,10,1971,1980,DT-DE-NT
Bob Maddox,1949-05-02,3,1974,1976,DT-DE
Bobby Majors,1949-07-07,1,1972,1972,DB
Irvin Mallory,1949-02-10,1,1971,1971,DB
Archie Manning,1949-05-19,13,1971,1984,QB
Chester Marcol,1949-10-24,9,1972,1980,K
Rod Marinelli,1949-07-13,NA,NA,NA,Coach
Amos Martin,1949-01-30,6,1972,1977,LB
Dee Martin,1949-03-28,1,1971,1971,DB
Don Martin,1949-09-17,3,1973,1976,DB
Matt Maslowski,1949-09-10,2,1971,1972,WR
Dave Mason,1949-11-02,2,1973,1974,DB
Greg Mattison,1949-11-15,NA,NA,NA,Coach
Henry Matthews,1949-03-17,2,1972,1973,RB
Dave Mays,1949-06-20,3,1976,1978,QB
Don McCauley,1949-05-12,11,1971,1981,RB
Jim McCann,1949-03-29,4,1971,1975,P
Bill McClard,1949-10-15,4,1972,1975,K
Tony McGee,1949-01-18,14,1971,1984,DE-DT
Bill McKinley,1949-01-14,1,1971,1971,DE-LB
Dan Medlin,1949-10-12,6,1974,1979,G
Terry Mendenhall,1949-04-16,2,1971,1972,LB
Don Milan,1949-01-12,1,1975,1975,QB
Jack Mildren,1949-10-16,3,1972,1974,DB
Jim Miller,1949-07-24,3,1971,1974,G
Lydell Mitchell,1949-05-30,9,1972,1980,RB
Mike Montgomery,1949-07-10,4,1971,1974,RB-WR
Bob Moore,1949-02-12,8,1971,1978,TE
Jerry Moore,1949-03-16,4,1971,1974,DB
Joe Moore,1949-06-29,2,1971,1973,RB
Reynaud Moore,1949-10-17,1,1971,1971,DB
Chris Morris,1949-10-07,3,1972,1975,T
Don Morrison,1949-12-16,9,1971,1979,T-C
Herb Mul-Key,1949-11-15,3,1972,1974,RB
Gerry Mullins,1949-08-24,9,1971,1979,G-T
Dan Neal,1949-08-30,11,1973,1983,C-G
Bob Newton,1949-08-16,11,1971,1981,G-T
Jim Nicholson,1949-02-28,6,1974,1979,T
Don Nottingham,1949-06-28,7,1971,1977,RB
Rick Ogle,1949-01-14,2,1971,1972,RLB
Steve Okoniewski,1949-08-22,6,1972,1977,DT-DE
Greg Oliver,1949-01-15,2,1973,1974,RB
Jim Osborne,1949-09-07,13,1972,1984,DT
Bill Overmyer,1949-06-16,1,1972,1972,LB
Chris Palmer,1949-09-23,NA,NA,NA,Coach
Paul Pasqualoni,1949-08-16,NA,NA,NA,Coach
Dan Pastorini,1949-05-26,12,1971,1983,QB
Harold Paul,1949-11-08,1,1974,1974,T
Dean Pees,1949-09-04,NA,NA,NA,Coach
Bubba Pena,1949-08-08,1,1972,1972,G
Bob Penchion,1949-08-11,5,1972,1976,G-C
Bob Picard,1949-11-24,4,1973,1976,WR
Lou Piccone,1949-07-17,9,1974,1982,WR
Charlie Potts,1949-04-29,1,1972,1972,DB
Joe Profit,1949-08-13,3,1971,1973,RB
Perry Pruett,1949-03-07,1,1971,1971,DB
Dave Pureifory,1949-07-12,11,1972,1982,DE-DT
Ahmad Rashad,1949-11-19,10,1972,1982,WR
Kerry Reardon,1949-05-06,6,1971,1976,DB
Tom Reynolds,1949-04-11,2,1972,1973,WR
Floyd Rice,1949-08-31,8,1971,1978,RLB
John Riggins,1949-08-04,14,1971,1985,RB
Jack Rizzo,1949-06-15,1,1973,1973,RB
Isiah Robertson,1949-08-17,12,1971,1982,LB
Willie Rodgers,1949-02-08,3,1972,1975,RB
Dave Roller,1949-10-28,7,1971,1980,DT
Oliver Ross,1949-09-18,4,1973,1976,RB
Larry Rowden,1949-03-17,2,1971,1972,LB
Dan Ryczek,1949-08-24,7,1973,1979,C
Sam Scarber,1949-06-24,2,1975,1976,RB
Kurt Schottenheimer,1949-10-01,NA,NA,NA,Coach
Bobby Scott,1949-04-02,9,1973,1981,QB
Clarence Scott,1949-04-09,13,1971,1983,DB
Andy Selfridge,1949-01-12,5,1972,1977,LLB
Mike Sensibaugh,1949-01-03,8,1971,1978,DB
Jeff Severson,1949-09-16,7,1972,1979,DB
Larry Shears,1949-08-01,2,1971,1972,DB
Mike Sikich,1949-03-03,1,1971,1971,G
Brian Sipe,1949-08-08,10,1974,1983,QB
Jim Skipper,1949-01-23,NA,NA,NA,Coach
Eldridge Small,1949-08-02,3,1972,1974,DB
Donnell Smith,1949-05-25,3,1971,1974,DE
John Smith,1949-12-30,10,1974,1983,K
Ollie Smith,1949-03-08,4,1973,1977,WR
Royce Smith,1949-06-17,5,1972,1976,G
Thomas Smith,1949-10-04,1,1973,1973,RB
Cotton Speyrer,1949-04-29,4,1972,1975,WR
Paul Staroba,1949-01-20,2,1972,1973,WR
Otto Stowe,1949-02-25,4,1971,1974,WR
John Sykes,1949-05-13,1,1972,1972,WR
John Tarver,1949-01-01,4,1972,1975,RB
Dave Taylor,1949-10-17,6,1973,1979,T
Michael Taylor,1949-09-21,2,1972,1973,LB
Jim Thaxton,1949-01-11,5,1973,1978,TE-WR
Joe Theismann,1949-09-09,12,1974,1985,QB
Bill Thomas,1949-08-07,3,1972,1974,RB
Dave Thompson,1949-02-01,5,1971,1975,T-C-G
Dave Tipton,1949-04-23,6,1971,1976,DE-DT
Phil Villapiano,1949-02-26,13,1971,1983,LB
Mike Wagner,1949-06-22,10,1971,1980,DB
Mike Walker,1949-10-18,1,1972,1972,K
Mike Walker,1949-11-07,1,1971,1971,DE
Rodney Wallace,1949-02-10,3,1971,1973,T-G
Tom Walsh,1949-04-16,NA,NA,NA,Coach
John Watson,1949-01-11,9,1971,1979,G-T-C
Charlie Weaver,1949-07-12,11,1971,1981,LB
Gary Weaver,1949-03-13,7,1973,1979,LB
Tim Webster,1949-09-11,1,1971,1971,K
Dwight White,1949-07-30,10,1971,1980,DE
Ray White,1949-05-18,4,1971,1976,MLB
Stan White,1949-10-24,11,1972,1982,LB
Bill Windauer,1949-11-22,4,1973,1976,DT-DT
Chuck Winfrey,1949-03-27,2,1971,1972,LB
Vernon Winfield,1949-08-27,2,1972,1973,G
Phil Wise,1949-04-25,9,1971,1979,DB
Elmo Wright,1949-07-03,5,1971,1975,WR
Jeff Wright,1949-06-13,7,1971,1977,DB
Will Wynn,1949-01-15,5,1973,1977,DE
Al Young,1949-08-24,2,1971,1972,WR
Wilbur Young,1949-04-20,12,1971,1982,DE-DT
Don Zimmerman,1949-11-22,4,1973,1976,WR
Mickey Zofko,1949-06-08,4,1971,1974,RB
Bill Adams,1950-02-04,6,1972,1978,G-T
Tony Adams,1950-03-19,5,1975,1987,QB
Richard Amman,1950-09-21,2,1972,1973,DE-DT
Lionel Antoine,1950-08-31,6,1972,1978,T
Otis Armstrong,1950-11-15,8,1973,1980,RB
Hise Austin,1950-09-08,2,1973,1975,DB
Charlie Babb,1950-02-04,8,1972,1979,DB
John Babinecz,1950-07-27,3,1972,1975,LB
Melvin Baker,1950-08-12,3,1974,1976,WR
John Banaszak,1950-08-24,7,1975,1981,DE-DT
Jerome Barkum,1950-07-18,12,1972,1983,TE-WR
Mike Barnes,1950-12-24,9,1973,1981,DT-DE
Rodrigo Barnes,1950-02-10,4,1973,1976,LB
Marv Bateman,1950-04-05,6,1972,1977,P
Terry Beasley,1950-02-05,3,1972,1975,WR
Tom Beckman,1950-09-21,1,1972,1972,DE
Reggie Berry,1950-03-13,3,1972,1974,DB
Jim Bertelsen,1950-02-26,5,1972,1976,RB
Tony Bertuca,1950-01-04,1,1974,1974,LB
Keith Best,1950-08-21,1,1972,1972,LB
Mike Bettiga,1950-09-10,1,1974,1974,WR
David Beverly,1950-08-19,7,1974,1980,P
Richard Bishop,1950-03-23,8,1976,1983,DE-NT
Hank Bjorklund,1950-06-05,3,1972,1974,RB
Joe Blahak,1950-08-29,5,1973,1977,DB
Matt Blair,1950-09-20,12,1974,1985,LB
Ron Bolton,1950-04-16,11,1972,1982,DB
Greg Boyd,1950-12-30,2,1973,1974,DB
Chuck Bradley,1950-10-13,3,1975,1977,TE
Ed Bradley,1950-04-22,7,1972,1978,RLB
Larry Brooks,1950-06-10,11,1972,1982,DT
Willie Buchanon,1950-11-04,11,1972,1982,DB
Bart Buetow,1950-10-28,2,1973,1976,T
John Bunting,1950-07-15,11,1972,1982,LB
Mike Burke,1950-07-28,1,1974,1974,P
Bill Butler,1950-08-12,3,1972,1974,RB
Dave Butz,1950-06-23,16,1973,1988,DT-DE
Rick Byas,1950-10-19,7,1974,1980,DB
Dom Capers,1950-08-07,NA,NA,NA,Coach
Dean Carlson,1950-08-01,1,1974,1974,QB
Joe Carroll,1950-05-29,2,1972,1973,LB
Kent Carter,1950-05-25,1,1974,1974,LB
Tommy Casanova,1950-08-29,6,1972,1977,DB
Al Chandler,1950-11-18,6,1973,1979,TE
Stan Cherry,1950-11-02,1,1973,1973,LB
Boobie Clark,1950-11-08,8,1973,1980,RB
Leroy Clark,1950-01-16,1,1976,1976,P
Danny Colbert,1950-12-15,3,1974,1976,DB
Ralph Coleman,1950-08-31,1,1972,1972,LB
Steve Coleman,1950-08-08,1,1974,1974,DE
Steve Crosby,1950-07-03,3,1974,1976,RB/Coach
Larry Crowe,1950-01-08,2,1972,1975,RB
Dwayne Crump,1950-08-09,4,1973,1976,DB
Sam Cunningham,1950-08-15,9,1973,1982,RB
Will Cureton,1950-12-02,1,1975,1975,QB
Isaac Curtis,1950-10-20,12,1973,1984,WR
Dave Dalby,1950-10-19,14,1972,1985,C
Thom Darden,1950-08-28,9,1972,1981,DB
Barry Darrow,1950-06-27,5,1974,1978,T
Ron Davis,1950-09-16,1,1973,1973,G
Stan Davis,1950-07-13,1,1973,1973,WR
Tom DeLeone,1950-08-13,13,1972,1984,C
Calvin Demery,1950-08-17,1,1972,1972,WR
Bill Demory,1950-12-01,2,1973,1974,QB
Mike Dennery,1950-06-26,3,1974,1976,LB
Conrad Dobler,1950-10-01,10,1972,1981,G
Nate Dorsey,1950-12-06,1,1973,1973,WR
Jay Douglas,1950-09-01,2,1973,1974,C
Oscar Dragon,1950-03-02,1,1972,1972,RB
Bill Drake,1950-05-22,2,1973,1974,DB-WR
Doug Dumler,1950-12-15,5,1973,1977,C
Billy Joe DuPree,1950-03-07,11,1973,1983,TE
Clarence Duren,1950-12-09,5,1973,1977,DB
Brad Dusek,1950-12-13,8,1974,1981,LB
Bill Ellenbogen,1950-12-08,2,1976,1977,G-T
Clarence Ellis,1950-02-11,3,1972,1974,DB
Mike Ernst,1950-10-12,2,1972,1973,QB
Joe Federspiel,1950-05-06,10,1972,1981,LB
Joe Ferguson,1950-04-23,17,1973,1990,QB
Paul Fersen,1950-02-16,2,1973,1974,T
Mike Fink,1950-12-24,1,1973,1973,DB
Chuck Foreman,1950-10-26,8,1973,1980,RB
Ted Fritsch,1950-08-26,7,1972,1979,C
Steve Furness,1950-12-05,10,1972,1981,DT-DE
Ed Galigher,1950-10-15,7,1972,1978,DT-DE
Allen Gallaher,1950-11-30,1,1974,1974,T
Chris Gartner,1950-07-12,1,1974,1974,K
Thom Gatewood,1950-03-07,2,1972,1973,TE-WR
Blenda Gay,1950-11-22,3,1974,1976,DE
Tom Geredine,1950-06-17,3,1973,1976,WR
Pat Gibbs,1950-04-05,1,1972,1972,DB
Joe Gilliam,1950-12-29,4,1972,1975,QB
Leland Glass,1950-11-05,2,1972,1973,WR
Rich Glover,1950-02-06,2,1973,1975,DT
Charles Goodrum,1950-01-11,7,1973,1979,G-T
Les Goodman,1950-09-01,2,1973,1974,RB
Neil Graff,1950-01-12,3,1974,1977,QB
Tom Graham,1950-04-15,7,1972,1978,LB
Frank Grant,1950-02-15,6,1973,1978,WR
John Grant,1950-06-28,7,1973,1979,DT-DE-NT
Windlan Hall,1950-03-11,6,1972,1977,DB
Andy Hamilton,1950-11-08,3,1973,1975,WR
Mike Hancock,1950-02-25,2,1973,1974,TE
Willie Harper,1950-07-30,10,1973,1983,LB
Franco Harris,1950-03-07,13,1972,1984,RB
Nate Hawkins,1950-02-08,1,1975,1975,WR
Don Heater,1950-06-22,1,1972,1972,RB
Brian Herosian,1950-09-14,1,1973,1973,DB
John Hill,1950-04-16,14,1972,1985,C-T
Mel Holmes,1950-01-22,3,1971,1973,G-T
Mike Holmes,1950-11-18,3,1974,1976,DB-WR
Jim Hooks,1950-10-23,4,1973,1976,RB
Billy Howard,1950-07-17,3,1974,1976,DE-DT
Paul Howard,1950-09-12,13,1973,1986,G
Tommy Humphrey,1950-03-24,1,1974,1974,C
Bernard Jackson,1950-08-24,9,1972,1980,DB
Ernie Jackson,1950-04-11,8,1972,1979,DB
Rusty Jackson,1950-11-17,3,1976,1979,P
Dick Jauron,1950-10-07,8,1973,1980,DB/Coach
Ed Jenkins,1950-08-31,2,1972,1974,RB
Leon Jenkins,1950-08-26,1,1972,1972,DB
Al Johnson,1950-06-17,6,1972,1978,DB-RB
Levi Johnson,1950-10-30,5,1973,1977,DB
Doug Jones,1950-05-31,6,1973,1979,DB
Jimmie Jones,1950-06-15,1,1974,1974,RB
Leroy Jones,1950-09-29,8,1976,1983,DE
Mike Kadish,1950-05-27,9,1973,1981,DT-NT
Tim Kearney,1950-11-05,10,1972,1981,MLB
Merritt Kersey,1950-02-22,2,1974,1975,P-RB
Jon Keyworth,1950-12-15,7,1974,1980,RB
Greg Kindle,1950-09-16,4,1974,1977,G-T
Doug Kingsriter,1950-01-29,3,1973,1975,TE
Bob Kroll,1950-06-09,1,1972,1972,DB
Bob Kuziel,1950-07-24,7,1972,1980,C-T
Bruce Laird,1950-05-23,12,1972,1983,DB
Pete Lazetich,1950-02-04,5,1972,1977,DE-LB-DT-NT
Jim LeClair,1950-10-30,12,1972,1983,LB
Willie Lee,1950-07-13,2,1976,1977,DT
Billy Lefear,1950-02-12,4,1972,1975,RB-WR
Jack LeVeck,1950-02-03,3,1973,1975,LB
Rich Lewis,1950-06-08,4,1972,1975,RLB
Karl Lorch,1950-06-14,6,1976,1981,DE-DT
Walt Love,1950-06-04,1,1973,1973,WR
Tom Luken,1950-06-15,6,1972,1978,G
Mel Lunsford,1950-06-13,8,1973,1980,DE-DT-NT
Jeff Lyman,1950-08-21,1,1972,1972,LB
Rosie Manning,1950-05-31,4,1972,1975,DT
Ed Marinaro,1950-03-31,6,1972,1977,RB
Larry Marshall,1950-03-02,7,1972,1978,DB
Harvey Martin,1950-11-16,11,1973,1983,DE-DT
Greg Marx,1950-07-18,1,1973,1973,DE
John Matuszak,1950-10-25,9,1973,1981,DE-DT
Ron Mayo,1950-10-11,2,1973,1974,TE
Bob McCall,1950-04-26,1,1973,1973,RB
Brian McConnell,1950-01-21,1,1973,1973,LB
Lawrence McCutcheon,1950-06-02,10,1972,1981,RB
Willie McGee,1950-05-14,6,1973,1978,WR
Ralph McGill,1950-04-28,8,1972,1979,DB
Reggie McKenzie,1950-07-27,13,1972,1984,G
John McMakin,1950-09-24,5,1972,1976,TE
Leon McQuay,1950-03-19,3,1974,1976,RB
Dennis Meyer,1950-04-08,1,1973,1973,DB
Larry Mialik,1950-05-15,4,1972,1976,TE
Nick Mike-Mayer,1950-03-01,10,1973,1982,K
Ron Mikolajczyk,1950-06-02,4,1976,1979,T-G
Lincoln Minor,1950-01-22,1,1973,1973,RB
Manfred Moore,1950-12-22,4,1974,1977,RB
Donnie Joe Morris,1950-02-16,1,1974,1974,RB
Guy Murdock,1950-06-27,1,1972,1972,C
Johnny Musso,1950-03-06,3,1975,1977,RB
Tom Myers,1950-10-24,10,1972,1981,DB
Robert Newhouse,1950-01-09,12,1972,1983,RB
Riley Odoms,1950-03-01,12,1972,1983,TE
Marv Owens,1950-06-16,2,1973,1974,WR
Al Palewicz,1950-03-23,4,1973,1977,LB
Gery Palmer,1950-12-25,1,1975,1975,T
Gary Parris,1950-06-13,8,1973,1980,TE
Bob Parsons,1950-06-29,12,1972,1983,TE-P
Walt Patulski,1950-02-03,5,1972,1977,DE
Ken Payne,1950-10-06,5,1974,1978,WR
Barry Pearson,1950-02-04,5,1972,1976,WR
Jim Peterson,1950-01-20,3,1974,1976,LB
Bob Pifferini,1950-06-27,5,1972,1977,RLB
Elex Price,1950-08-11,8,1973,1980,DT
Ernie Price,1950-09-20,7,1973,1979,DE
Kenny Price,1950-04-07,1,1971,1971,LB
Bo Rather,1950-10-07,6,1973,1978,WR
Don Ratliff,1950-07-18,1,1975,1975,DE
Dave Reavis,1950-06-19,10,1974,1983,T-G
John Reaves,1950-03-02,9,1972,1987,QB
Ray Rhodes,1950-10-20,7,1974,1980,DB-WR/Coach
Ernie Richardson,1950-07-17,1,1974,1974,TE
Golden Richards,1950-12-31,7,1973,1979,WR
Joe Rizzo,1950-12-17,7,1974,1980,LB
Travis Roach,1950-03-18,1,1974,1974,G
Guy Roberts,1950-06-12,6,1972,1977,RLB
Council Rudolph,1950-01-18,6,1972,1977,DE
Bryant Salter,1950-01-22,6,1971,1976,DB
Greg Sampson,1950-10-25,7,1972,1978,T-DT-DE
John Sanders,1950-01-11,6,1974,1979,DB
Ken Sanders,1950-08-22,10,1972,1981,DE
Reggie Sanderson,1950-11-04,1,1973,1973,RB
John Saunders,1950-04-29,3,1972,1975,DB
Hurles Scales,1950-12-01,2,1974,1975,DB
Bob Schmit,1950-06-28,2,1975,1976,LB
Jeff Sevy,1950-10-24,6,1975,1980,T-G-DT-DE
Paul Seymour,1950-02-06,5,1973,1977,TE
Gary Shirk,1950-02-23,7,1976,1982,TE
Boris Shlapak,1950-05-18,1,1972,1972,K
Mike Siani,1950-05-27,9,1972,1980,WR
Jeff Siemon,1950-06-02,11,1972,1982,LB
Mike Simone,1950-05-20,3,1972,1974,LB
Charlie Smith,1950-07-26,8,1974,1981,WR
Ed Smith,1950-10-23,2,1973,1974,DE
Larry Steele,1950-01-05,1,1974,1974,P
Howard Stevens,1950-02-09,5,1973,1977,RB
Jim Stienke,1950-11-07,6,1973,1978,DB
Tim Stokes,1950-03-16,9,1974,1982,T
Ken Stone,1950-09-14,8,1973,1980,DB-WR
Don Strock,1950-11-27,15,1974,1988,QB
Henry Stuckey,1950-08-24,5,1972,1976,DB
Pat Sullivan,1950-01-18,4,1972,1975,QB
Tom Sullivan,1950-03-05,7,1972,1978,RB
Steve Sweeney,1950-09-06,1,1973,1973,WR
Jerry Tagge,1950-04-12,3,1972,1974,QB
Jim Teal,1950-05-14,1,1973,1973,LB
Skip Thomas,1950-02-07,6,1972,1977,DB
Tom Toner,1950-01-25,4,1973,1977,LB
Godwin Turk,1950-10-15,4,1975,1978,LLB
Rocky Turner,1950-08-06,2,1972,1973,DB-WR
Maurice Tyler,1950-07-19,7,1972,1978,DB
Pete Van Valkenberg,1950-05-19,2,1973,1974,RB
John Vella,1950-04-21,8,1972,1980,T
Charlie Wade,1950-02-23,3,1974,1977,WR
Donnie Walker,1950-12-26,3,1973,1975,DB
Eric Washington,1950-04-22,2,1972,1973,DB
Pete Watson,1950-09-19,1,1972,1972,TE
Ray Wersching,1950-08-21,15,1973,1987,K
Robert West,1950-10-03,3,1972,1974,WR
Wayne Wheeler,1950-03-28,1,1974,1974,WR
Bob Wicks,1950-07-24,2,1972,1974,WR
Ed Williams,1950-06-19,4,1974,1977,RB
Joe Wilson,1950-08-11,2,1973,1974,RB
Tom Wittum,1950-01-11,5,1973,1977,P
Robert Woods,1950-07-26,8,1973,1980,T-G
Keith Wortman,1950-07-20,10,1972,1981,T-G-C
Jack Youngblood,1950-01-26,14,1971,1984,DE
Jim Youngblood,1950-02-23,12,1973,1984,LLB
Jim Young,1950-07-08,3,1977,1979,DE
Pete Adams,1951-05-04,2,1974,1976,G
Sergio Albert,1951-10-28,1,1974,1974,K
Doug Allen,1951-11-13,2,1974,1975,LB
George Amundson,1951-03-31,3,1973,1975,RB
Preston Anderson,1951-09-30,1,1974,1974,DB
Scott Anderson,1951-02-13,2,1974,1976,C
John Andrews,1951-11-07,2,1975,1976,DE-DT
Jim Arneson,1951-01-07,3,1973,1975,G-C
Mike Askea,1951-01-07,1,1973,1973,T
Darrell Austin,1951-11-06,6,1975,1980,G-C-T
Bruce Bannon,1951-03-11,2,1973,1974,LB
Bob Barber,1951-12-26,4,1976,1979,DE
Carl Barisich,1951-07-12,9,1973,1981,DT-NT
Benny Barnes,1951-03-03,11,1972,1982,DB
Bruce Barnes,1951-06-21,2,1973,1974,P
Joe Barnes,1951-12-18,1,1974,1974,QB
Jean Barrett,1951-05-24,7,1973,1980,T-G-C
Carl Barzilauskas,1951-03-19,6,1974,1979,DT
Michael Basinger,1951-12-11,1,1974,1974,DE
Steve Baumgartner,1951-03-26,7,1973,1979,DE-LB
Nick Bebout,1951-05-05,8,1973,1980,T
Ken Bernich,1951-09-06,1,1975,1975,LB
Tim Berra,1951-09-23,1,1974,1974,WR
Gregg Bingham,1951-03-13,12,1973,1984,LB
Lyle Blackwood,1951-05-24,14,1973,1986,DB
T.C. Blair,1951-08-04,1,1974,1974,TE
Bon Boatwright,1951-10-28,1,1974,1974,DT
Dave Boone,1951-10-30,1,1974,1974,DE
Mike Boryla,1951-03-06,4,1974,1978,QB
Dennis Bragonier,1951-01-22,1,1974,1974,DB
Tom Brahaney,1951-10-23,9,1973,1981,C
Jerry Broadnax,1951-08-19,1,1974,1974,TE
Dieter Brock,1951-02-12,1,1985,1985,QB
Bobby Brooks,1951-02-24,3,1974,1976,DB
Gordie Browne,1951-12-05,2,1974,1975,T
Bill Bryant,1951-01-15,3,1976,1978,DB
Cullen Bryant,1951-05-20,13,1973,1987,RB
Larry Burton,1951-12-15,5,1975,1979,WR
Gary Butler,1951-01-11,3,1973,1977,TE
Bill Cahill,1951-05-05,2,1973,1974,DB
J.V. Cain,1951-07-22,4,1974,1977,TE-WR
Warren Capone,1951-08-14,2,1975,1976,LB
Pete Carroll,1951-09-15,NA,NA,NA,Coach
Wally Chambers,1951-05-15,7,1973,1979,DT-DE
Barney Chavous,1951-03-22,13,1973,1985,DE-DT
Henry Childs,1951-04-16,9,1974,1984,TE
Larry Cipa,1951-10-05,2,1974,1975,QB
Gail Clark,1951-04-14,2,1973,1974,LB
Steve Colavito,1951-08-09,1,1975,1975,LB
Ronnie Coleman,1951-07-09,8,1974,1981,RB
Dick Conn,1951-01-09,6,1974,1979,DB
Bill Cooke,1951-02-26,6,1975,1980,DT-DE-T
Mark Cooney,1951-06-02,1,1974,1974,LB
Steve Corbett,1951-08-11,1,1975,1975,G
Steve Craig,1951-03-13,5,1974,1978,TE
Bill Craven,1951-12-18,1,1976,1976,DB
Chuck Crist,1951-01-16,7,1972,1978,DB
Leon Crosswhite,1951-04-28,2,1973,1974,RB
Bob Crum,1951-06-28,1,1974,1974,DE
Willie Cullars,1951-08-04,1,1974,1974,DE
Gary Danielson,1951-09-10,11,1976,1988,QB
Butch Davis,1951-11-17,NA,NA,NA,Coach
Charles Davis,1951-11-17,7,1974,1980,DT-NT
Jerry Davis,1951-02-05,1,1975,1975,DB
Jack DeGrenier,1951-02-25,1,1974,1974,RB
Joe DeLamielleure,1951-03-16,13,1973,1985,G
Al Dennis,1951-06-24,3,1973,1977,G
Doug Dennison,1951-12-18,5,1974,1978,RB
Herb Dobbins,1951-06-22,1,1974,1974,T
Bill Donckers,1951-01-08,2,1976,1977,QB
Andy Dorris,1951-08-11,9,1973,1981,DE
Bill DuLac,1951-01-15,2,1974,1975,G
John Dutton,1951-02-06,14,1974,1987,DT-DE
Allan Ellis,1951-08-19,8,1973,1981,DB
Lenvil Elliott,1951-09-02,9,1973,1981,RB
Leonard Fairley,1951-01-02,1,1974,1974,DB
Bill Ferguson,1951-07-07,2,1973,1974,LB
Ron Fernandes,1951-09-11,3,1976,1979,DE-DT
Dan Fouts,1951-06-10,15,1973,1987,QB
Wallace Francis,1951-11-07,9,1973,1981,WR
Solomon Freelon,1951-02-19,3,1972,1974,G
Jesse Freitas,1951-09-10,2,1974,1975,QB
Jean Fugett,1951-12-16,8,1972,1979,TE
Dave Gagnon,1951-01-17,1,1974,1974,RB
Greg Gantt,1951-10-30,2,1974,1975,P
Reggie Garrett,1951-11-22,2,1974,1975,WR
Steve George,1951-04-11,2,1974,1976,DT
Tim George,1951-10-04,2,1973,1974,WR
Mike Gibbons,1951-01-23,2,1976,1977,T
Kevin Gilbride,1951-08-27,NA,NA,NA,Coach
Noe Gonzalez,1951-02-05,1,1974,1974,RB
Don Goode,1951-06-21,8,1974,1981,LB
Leon Gray,1951-11-15,11,1973,1983,T-G
Van Green,1951-04-21,4,1973,1976,DB
Woody Green,1951-06-20,3,1974,1976,RB
Ray Hamilton,1951-01-20,9,1973,1981,NT-DE
John Hannah,1951-04-04,13,1973,1985,G
Ed Hardy,1951-03-11,1,1973,1973,G
Reggie Harrison,1951-01-09,4,1974,1977,RB
Rick Harrell,1951-08-08,1,1973,1973,C
Greg Hartle,1951-02-14,3,1974,1976,LB
George Hasenohrl,1951-03-10,1,1974,1974,DT
Gary Hayman,1951-09-08,2,1974,1975,RB
Clayton Heath,1951-02-15,1,1976,1976,RB
Mike Hennigan,1951-10-24,6,1973,1978,RILB
Matt Herkenhoff,1951-04-02,10,1976,1985,T
Efren Herrera,1951-07-30,8,1974,1982,K
John Hicks,1951-03-21,4,1974,1977,G
R.W. Hicks,1951-01-04,1,1975,1975,C
Steve Holden,1951-08-02,5,1973,1977,WR
Greg Horton,1951-01-01,5,1976,1980,G-C
Bill Houston,1951-08-22,1,1974,1974,WR
Ron Howard,1951-03-03,6,1974,1979,TE
Gary Hrivnak,1951-03-03,3,1973,1975,DE
Gary Huff,1951-04-27,6,1973,1978,QB
John Hufnagel,1951-09-13,2,1974,1975,QB/Coach
Bob Hunt,1951-09-03,1,1974,1974,RB
Charlie Hunt,1951-02-01,2,1973,1976,LB
Sam Hunt,1951-08-06,6,1974,1979,LB
Glenn Hyde,1951-03-14,10,1976,1987,T-G-C
Noah Jackson,1951-04-14,10,1975,1984,G
Tom Jackson,1951-04-04,14,1973,1986,LB
Wilbur Jackson,1951-11-19,8,1974,1982,RB
Ron Jaworski,1951-03-23,15,1974,1989,QB
Dennis Johnson,1951-10-22,5,1974,1978,DE-DT
Monte Johnson,1951-10-26,7,1973,1979,LB
Evan Jolitz,1951-07-26,1,1974,1974,LB
Andrew Jones,1951-10-23,2,1975,1976,RB
Bert Jones,1951-09-07,10,1973,1982,QB
Bob Jones,1951-02-10,4,1973,1976,DB
Calvin Jones,1951-01-26,4,1973,1976,DB
Cody Jones,1951-05-03,8,1974,1982,DT-DE
Too Tall Jones,1951-02-23,15,1974,1989,DE
Larry Jones,1951-03-04,5,1974,1978,WB-DB
Steve Jones,1951-03-06,6,1973,1978,RB
Dave Juenger,1951-02-04,1,1973,1973,WR
