player,birthday,yrs,from,to,team
Randy Velischek,1962-02-10,9,1983,1992,"MNS,NJD,QUE"
Tyler Bunz,1992-02-11,0,2015,2015,EDM
Matt Climie,1983-02-11,2,2009,2011,"DAL,PHX"
Michel Dion,1954-02-11,5,1980,1985,"QUE,WIN,PIT"
Andre Dore,1958-02-11,6,1979,1985,"NYR,STL,QUE"
Trent Frederic,1998-02-11,1,2019,2020,BOS
Bruce Gardiner,1972-02-11,5,1997,2002,"OTT,TBL,CBJ,NJD"
Sean Haggerty,1976-02-11,5,1996,2001,"TOR,NYI,NSH"
Andrew Hammond,1988-02-11,4,2014,2018,"OTT,COL"
Paul Harrison,1955-02-11,6,1976,1982,"MNS,TOR,BUF,PIT"
Dwayne Hay,1977-02-11,3,1998,2001,"WSH,FLA,TBL,CGY"
Derek King,1967-02-11,13,1987,2000,"NYI,HAR,TOR,STL"
Brian Kinsella,1954-02-11,1,1976,1977,WSH
Ryan Lindgren,1998-02-11,1,2019,2020,NYR
Lew Morrison,1948-02-11,8,1970,1978,"PHI,ATF,PIT,WSH"
Steve Nemeth,1967-02-11,0,1988,1988,NYR
Frank Nigro,1960-02-11,1,1983,1984,TOR
Mathieu Olivier,1997-02-11,0,2020,2020,NSH
Jamie Pushor,1973-02-11,10,1996,2006,"DET,MDA,DAL,CBJ,PIT,NYR"
Jeremy Reich,1979-02-11,4,2004,2008,"CBJ,BOS"
Mike Richards,1985-02-11,10,2006,2016,"PHI,LAK,WSH"
Bryce Salvador,1976-02-11,14,2001,2015,"STL,NJD"
Alexander Semak,1966-02-11,5,1992,1997,"NJD,TBL,NYI,VAN"
Eddie Shack,1937-02-11,16,1959,1975,"NYR,TOR,BOS,LAK,BUF,PIT"
Ville Siren,1964-02-11,4,1986,1990,"PIT,MNS"
Jaroslav Spacek,1974-02-11,13,1999,2012,"FLA,CHI,CBJ,EDM,BUF,MTL,CAR"
Greg Stefan,1961-02-11,8,1982,1990,DET
Ulf Sterner,1941-02-11,0,1965,1965,NYR
David Struch,1971-02-11,0,1994,1994,CGY
Maxime Talbot,1984-02-11,10,2006,2016,"PIT,PHI,COL,BOS"
Joe Ward,1961-02-11,0,1981,1981,CLR
Bob Wilkie,1969-02-11,3,1991,1994,"DET,PHI"
Fred Ahern,1952-02-12,3,1975,1978,"CGS,CLE,CLR"
Russ Anderson,1955-02-12,8,1977,1985,"PIT,HAR,LAK"
Curtis Brown,1976-02-12,13,1995,2008,"BUF,SJS,CHI"
Frederic Chabot,1968-02-12,8,1991,1999,"MTL,PHI,LAK"
Rico Fata,1980-02-12,8,1999,2007,"CGY,NYR,PIT,ATL,WSH"
Alex Galchenyuk,1994-02-12,7,2013,2020,"MTL,ARI,MIN,PIT"
Colton Gillies,1989-02-12,4,2009,2013,"MIN,CBJ"
Jonas Hiller,1982-02-12,8,2008,2016,"ANA,CGY"
Martin Houle,1985-02-12,0,2007,2007,PHI
John Keating,1908-02-12,1,1932,1933,NYA
Jacques Locas,1926-02-12,1,1948,1949,MTL
Petr Mika,1979-02-12,0,2000,2000,NYI
Stefan Noesen,1993-02-12,5,2015,2020,"ANA,NJD,PIT,SJS"
Owen Nolan,1972-02-12,19,1991,2010,"QUE,COL,SJS,TOR,PHX,CGY,MIN"
George Owen,1901-02-12,4,1929,1933,BOS
Michel Petit,1964-02-12,15,1983,1998,"VAN,NYR,QUE,TOR,CGY,LAK,TBL,EDM,PHI,PHX"
John Purves,1968-02-12,0,1991,1991,WSH
Konstantin Pushkarev,1985-02-12,1,2006,2007,LAK
Mike Robitaille,1948-02-12,7,1970,1977,"NYR,DET,BUF,VAN"
Remi Royer,1978-02-12,0,1999,1999,CHI
Oleg Saprykin,1981-02-12,7,2000,2007,"CGY,PHX,OTT"
Hamby Shore,1886-02-12,0,1918,1918,OTS
Jonathan Sigalet,1986-02-12,0,2007,2007,BOS
Bobby Smith,1958-02-12,14,1979,1993,"MNS,MTL"
Wayne Smith,1943-02-12,0,1967,1967,CBH
Peter Sturgeon,1954-02-12,1,1980,1981,CLR
Brad Werenka,1969-02-12,8,1993,2001,"EDM,QUE,CHI,PIT,CGY"
Chris Winnes,1968-02-12,2,1992,1994,"BOS,PHI"
Niklas Backstrom,1978-02-13,9,2007,2016,"MIN,CGY"
Cecil Browne,1896-02-13,0,1928,1928,CBH
Patsy Callighen,1906-02-13,0,1928,1928,NYR
Kim Clackson,1955-02-13,1,1980,1981,"PIT,QUE"
Sylvain Cloutier,1974-02-13,0,1999,1999,CHI
Marc Crawford,1961-02-13,5,1982,1987,VAN
Luc Dufour,1963-02-13,2,1983,1985,"BOS,QUE,STL"
Todd Fedoruk,1979-02-13,9,2001,2010,"PHI,MDA,ANA,DAL,MIN,PHX,TBL"
Gaston Gingras,1959-02-13,9,1980,1989,"MTL,TOR,STL"
Gord Hampson,1959-02-13,0,1983,1983,CGY
Kaapo Kakko,2001-02-13,0,2020,2020,NYR
Zdenek Kutlak,1980-02-13,3,2001,2004,BOS
Al Montoya,1985-02-13,9,2009,2018,"PHX,NYI,WPG,FLA,MTL,EDM"
Cory Murphy,1978-02-13,2,2008,2010,"FLA,TBL,NJD"
Brad Norton,1975-02-13,5,2002,2007,"FLA,LAK,WSH,OTT,DET"
Daryl Reaugh,1965-02-13,6,1985,1991,"EDM,HAR"
Everett Sanipass,1968-02-13,4,1987,1991,"CHI,QUE"
Grant Sasser,1964-02-13,0,1984,1984,PIT
Wyatt Smith,1977-02-13,8,2000,2008,"PHX,NSH,NYI,MIN,COL"
Ben Street,1987-02-13,7,2013,2020,"CGY,COL,DET,ANA,NJD"
Mats Sundin*,1971-02-13,18,1991,2009,"QUE,TOR,VAN"
Vesa Viitakoski,1971-02-13,2,1994,1996,CGY
Juha Ylonen,1972-02-13,5,1997,2002,"PHX,OTT,TBL"
Frank Bathgate,1930-02-14,0,1953,1953,NYR
Bobby Boucher,1904-02-14,0,1924,1924,MTL
Charlie Burns,1936-02-14,14,1959,1973,"DET,BOS,OAK,PIT,MNS"
Matt Campanale,1988-02-14,0,2011,2011,NYI
Murph Chamberlain,1915-02-14,11,1938,1949,"TOR,MTL,BRO,BOS"
Val Delory,1927-02-14,0,1949,1949,NYR
Nikolaj Ehlers,1996-02-14,4,2016,2020,WPG
Marian Gaborik,1982-02-14,17,2001,2018,"MIN,NYR,CBJ,LAK,OTT"
Howie Glover,1935-02-14,10,1959,1969,"CBH,DET,NYR,MTL"
John Hayden,1995-02-14,3,2017,2020,"CHI,NJD"
Milan Hejduk,1976-02-14,14,1999,2013,COL
Sean Hill,1970-02-14,15,1993,2008,"MTL,MDA,OTT,CAR,STL,FLA,NYI,MIN"
Val James,1957-02-14,5,1982,1987,"BUF,TOR"
Marko Jantunen,1971-02-14,0,1997,1997,CGY
Calle Johansson,1967-02-14,16,1988,2004,"BUF,WSH,TOR"
Ryan Johnston,1992-02-14,1,2016,2017,MTL
Bogdan Kiselevich,1990-02-14,0,2019,2019,FLA
Viktor Kozlov,1975-02-14,14,1995,2009,"SJS,FLA,NJD,NYI,WSH"
Bonner Larose,1901-02-14,0,1926,1926,BOS
Gerry Lowrey,1906-02-14,5,1928,1933,"TOR,PTP,PHQ,CBH,OTS"
Dave Lowry,1965-02-14,18,1986,2004,"VAN,STL,FLA,SJS,CGY"
Ryan MacInnis,1996-02-14,0,2020,2020,CBJ
Mike MacWilliam,1967-02-14,0,1996,1996,NYI
Norm Milley,1980-02-14,4,2002,2006,"BUF,TBL"
Petr Mrazek,1992-02-14,7,2013,2020,"DET,PHI,CAR"
Jan Nemecek,1976-02-14,1,1999,2000,LAK
Eric Nystrom,1983-02-14,10,2006,2016,"CGY,MIN,DAL,NSH"
Matt O'Connor,1992-02-14,0,2016,2016,OTT
Walt Poddubny,1960-02-14,10,1982,1992,"EDM,TOR,NYR,QUE,NJD"
Tom Pyatt,1987-02-14,9,2010,2019,"MTL,TBL,OTT"
Jack Rodewald,1994-02-14,1,2018,2019,OTT
Simo Saarinen,1963-02-14,0,1985,1985,NYR
Brandon Sutter,1989-02-14,11,2009,2020,"CAR,PIT,VAN"
Petr Svoboda,1966-02-14,16,1985,2001,"MTL,BUF,PHI,TBL"
Boris Valabik,1986-02-14,2,2008,2010,ATL
Ilya Zubov,1987-02-14,1,2008,2009,OTT
Serge Aubin,1975-02-15,7,1999,2006,"COL,CBJ,ATL"
Bruce Bell,1965-02-15,5,1985,1990,"QUE,STL,NYR,EDM"
Gilles Boisvert,1933-02-15,0,1960,1960,DET
Sebastien Bordeleau,1975-02-15,6,1996,2002,"MTL,NSH,MIN,PHX"
Andy Brown,1944-02-15,2,1972,1974,"DET,PIT"
Dave Chartier,1961-02-15,0,1981,1981,WIN
Tim Cheveldae,1968-02-15,8,1989,1997,"DET,WIN,BOS"
Dennis Cholowski,1998-02-15,1,2019,2020,DET
Rob Cimetta,1970-02-15,3,1989,1992,"BOS,TOR"
Rejean Cloutier,1960-02-15,2,1980,1982,DET
Marty Dallman,1963-02-15,1,1988,1989,TOR
Martin Gendron,1974-02-15,3,1995,1998,"WSH,CHI"
Mel Hill,1914-02-15,8,1938,1946,"BOS,BRO,TOR"
Joshua Jacobs,1996-02-15,1,2019,2020,NJD
Jaromir Jagr,1972-02-15,27,1991,2018,"PIT,WSH,NYR,PHI,BOS,DAL,NJD,FLA,CGY"
Glenn Johannesen,1962-02-15,0,1986,1986,NYI
Markku Kyllonen,1962-02-15,0,1989,1989,WIN
Taylor Leier,1994-02-15,2,2016,2018,PHI
Ron Lyons,1909-02-15,0,1931,1931,"BOS,PHQ"
Adam Mair,1979-02-15,11,2000,2011,"TOR,LAK,BUF,NJD"
Tony McKegney,1958-02-15,12,1979,1991,"BUF,QUE,MNS,NYR,STL,DET,CHI"
Leo Murray,1906-02-15,0,1933,1933,MTL
Brent Peterson,1958-02-15,10,1979,1989,"DET,BUF,VAN,HAR"
Ronald Petrovicky,1977-02-15,6,2001,2007,"CGY,NYR,ATL,PIT"
Daniel Poudrier,1964-02-15,2,1986,1988,QUE
Brian Propp,1959-02-15,14,1980,1994,"PHI,BOS,MNS,HAR"
Robbie Russo,1993-02-15,0,2017,2017,DET
Chuck Scherza,1923-02-15,1,1944,1945,"BOS,NYR"
Craig Simpson,1967-02-15,9,1986,1995,"PIT,EDM,BUF"
Phil Stevens,1893-02-15,8,1918,1926,"MTW,MTL,BOS"
Harvey Teno,1915-02-15,0,1939,1939,DET
Mitch Wilson,1962-02-15,2,1985,1987,"NJD,PIT"
Bobby Bauer*,1915-02-16,15,1937,1952,BOS
Blair Betts,1980-02-16,9,2002,2011,"CGY,NYR,PHI"
Luc Bourdon,1987-02-16,1,2007,2008,VAN
Ken Broderick,1942-02-16,5,1970,1975,"MNS,BOS"
Les Costello,1928-02-16,0,1949,1949,TOR
Colin Forbes,1976-02-16,9,1997,2006,"PHI,TBL,OTT,NYR,WSH"
Bernie Geoffrion*,1931-02-16,17,1951,1968,"MTL,NYR"
Jordan Greenway,1997-02-16,2,2018,2020,MIN
Obs Heximer,1910-02-16,5,1930,1935,"NYR,BOS,NYA"
Korbinian Holzer,1988-02-16,9,2011,2020,"TOR,ANA,NSH"
Ladislav Karabin,1970-02-16,0,1994,1994,PIT
Michael Liambas,1989-02-16,1,2017,2018,"NSH,ANA"
Garth MacGuigan,1956-02-16,4,1980,1984,NYI
Lanny McDonald*,1953-02-16,15,1974,1989,"TOR,CLR,CGY"
Peter McDuffe,1948-02-16,4,1972,1976,"STL,NYR,KCS,DET"
Nick Metz,1914-02-16,13,1935,1948,TOR
Aleksey Morozov,1977-02-16,6,1998,2004,PIT
Mark Mowers,1974-02-16,9,1999,2008,"NSH,DET,BOS,ANA"
Marty Murray,1975-02-16,11,1996,2007,"CGY,PHI,CAR,LAK"
Paul Nicholson,1954-02-16,2,1975,1977,WSH
Chris Nielsen,1980-02-16,1,2001,2002,CBJ
Cristopher Nilstorp,1984-02-16,1,2013,2014,DAL
Doug O'Brien,1984-02-16,0,2006,2006,TBL
Evan Oberg,1988-02-16,2,2010,2012,"VAN,TBL"
Jimmie Olvestad,1980-02-16,1,2002,2003,TBL
Austin Poganski,1996-02-16,0,2020,2020,STL
Darcy Rota,1953-02-16,10,1974,1984,"CBH,ATF,VAN"
Tuomo Ruutu,1983-02-16,12,2004,2016,"CHI,CAR,NJD"
Peter Smrek,1979-02-16,1,2001,2002,"NYR,STL"
Andre St. Laurent,1953-02-16,10,1974,1984,"NYI,DET,LAK,PIT"
Sam St. Laurent,1959-02-16,4,1986,1990,"NJD,DET"
George Swarbrick,1942-02-16,3,1968,1971,"OAK,PIT,PHI"
Owen Tippett,1999-02-16,0,2018,2018,FLA
Mikhail Yakubov,1982-02-16,2,2004,2006,"CHI,FLA"
Sebastian Aho,1996-02-17,0,2018,2018,NYI
Kaspars Astashenko,1975-02-17,1,2000,2001,TBL
Victor Bartley,1988-02-17,3,2013,2016,"NSH,MTL"
Claude Cardin,1941-02-17,0,1968,1968,STL
D'arcy Coulson,1908-02-17,0,1931,1931,PHQ
Hnat Domenichelli,1976-02-17,6,1997,2003,"CGY,HAR,ATL,MIN"
Brodie Dupont,1987-02-17,0,2011,2011,NYR
Adam Fox,1998-02-17,0,2020,2020,NYR
Michael Frolik,1988-02-17,11,2009,2020,"FLA,CHI,WPG,CGY,BUF"
Todd Harvey,1975-02-17,11,1995,2006,"DAL,NYR,SJS,EDM"
Archie Henderson,1957-02-17,2,1981,1983,"WSH,MNS,HAR"
Max Jones,1998-02-17,1,2019,2020,ANA
Nathan LaFayette,1973-02-17,5,1994,1999,"STL,VAN,NYR,LAK"
Marc Magnan,1962-02-17,0,1983,1983,TOR
Peter Mannino,1984-02-17,3,2009,2012,"NYI,ATL,WPG"
Paul Meger,1929-02-17,4,1951,1955,MTL
Drew Miller,1984-02-17,9,2008,2017,"ANA,DET,TBL"
Darren Pang,1964-02-17,4,1985,1989,"CBH,CHI"
Vinny Prospal,1975-02-17,16,1997,2013,"PHI,OTT,FLA,TBL,MDA,NYR,CBJ"
Al Pudas,1899-02-17,0,1927,1927,TOR
Reg Reid,1899-02-17,1,1925,1926,TRS
Gerry Rioux,1959-02-17,0,1980,1980,WIN
Luc Robitaille*,1966-02-17,19,1987,2006,"LAK,PIT,NYR,DET"
Jean-Yves Roy,1969-02-17,3,1995,1998,"NYR,OTT,BOS"
Lindy Ruff,1960-02-17,11,1980,1991,"BUF,NYR"
Jim Rutherford*,1949-02-17,12,1971,1983,"DET,PIT,LAK,TOR"
Stefan Ruzicka,1985-02-17,2,2006,2008,PHI
Gary Shuchuk,1967-02-17,5,1991,1996,"DET,LAK"
Vladimir Vujtek,1972-02-17,11,1992,2003,"MTL,EDM,TBL,ATL,PIT"
Nik Antropov,1980-02-18,13,2000,2013,"TOR,NYR,ATL,WPG"
Ryan Bonni,1979-02-18,0,2000,2000,VAN
Mike Card,1986-02-18,0,2007,2007,BUF
Blake Comeau,1986-02-18,13,2007,2020,"NYI,CGY,CBJ,PIT,COL,DAL"
Maurice Courteau,1920-02-18,0,1944,1944,BOS
Dick Duff*,1936-02-18,17,1955,1972,"TOR,NYR,MTL,LAK,BUF"
Fred Elliott,1903-02-18,0,1929,1929,OTS
Brandon Gormley,1992-02-18,2,2014,2016,"PHX,ARI,COL"
Thomas Gradin,1956-02-18,8,1979,1987,"VAN,BOS"
Cody Hodgson,1990-02-18,5,2011,2016,"VAN,BUF,NSH"
Warren Holmes,1957-02-18,2,1982,1984,LAK
Marty Howe,1954-02-18,5,1980,1985,"HAR,BOS"
Tom Johnson*,1928-02-18,17,1948,1965,"MTL,BOS"
Ross Johnston,1994-02-18,4,2016,2020,NYI
Wally Kilrea,1909-02-18,8,1930,1938,"OTS,PHQ,NYA,MTM,DET"
Kris King,1966-02-18,13,1988,2001,"DET,NYR,WIN,PHX,TOR,CHI"
Slater Koekkoek,1994-02-18,5,2015,2020,"TBL,CHI"
Moe Lemay,1962-02-18,7,1982,1989,"VAN,EDM,BOS,WIN"
Martin Marincin,1992-02-18,6,2014,2020,"EDM,TOR"
Ab McDonald,1936-02-18,13,1959,1972,"MTL,CBH,BOS,DET,PIT,STL"
Alexander Mogilny,1969-02-18,16,1990,2006,"BUF,VAN,NJD,TOR"
Andy Moog,1960-02-18,17,1981,1998,"EDM,BOS,DAL,MTL"
Glenn Mulvenna,1967-02-18,1,1992,1993,"PIT,PHI"
Rick Newell,1948-02-18,1,1973,1974,DET
Jason Podollan,1976-02-18,5,1997,2002,"FLA,TOR,LAK,NYI"
Goldie Prodgers,1891-02-18,5,1920,1925,"TRS,HAM"
Yann Sauve,1990-02-18,3,2011,2014,VAN
Jack Studnicka,1999-02-18,0,2020,2020,BOS
Josh Teves,1995-02-18,0,2019,2019,VAN
Ivan Vishnevskiy,1988-02-18,1,2009,2010,DAL
Bob Wilson,1934-02-18,0,1954,1954,CBH
Jim Wiste,1946-02-18,2,1969,1971,"CBH,VAN"
Ruslan Batyrshin,1975-02-19,0,1996,1996,LAK
John Blue,1966-02-19,3,1993,1996,"BOS,BUF"
Kyle Chipchura,1986-02-19,8,2008,2016,"MTL,ANA,PHX,ARI"
Joe Crozier,1929-02-19,0,1960,1960,TOR
Jerry D'Amigo,1991-02-19,1,2014,2015,"TOR,BUF"
Rob DiMaio,1968-02-19,17,1989,2006,"NYI,TBL,PHI,BOS,NYR,CAR,DAL"
Peter Douris,1966-02-19,12,1986,1998,"WIN,BOS,MDA,DAL"
Randy Gregg,1956-02-19,9,1983,1992,"EDM,VAN"
Pierre Hedin,1978-02-19,0,2004,2004,TOR
Linus Klasen,1986-02-19,0,2011,2011,NSH
Gary Leeman,1964-02-19,13,1984,1997,"TOR,CGY,MTL,VAN,STL"
Charlie Luksa,1954-02-19,0,1980,1980,HAR
Shawn Matthias,1988-02-19,10,2008,2018,"FLA,VAN,COL,TOR,WPG"
Kris Newbury,1982-02-19,7,2007,2014,"TOR,DET,NYR,PHI"
Russell Oatman,1905-02-19,2,1927,1929,"DTC,MTM,NYR"
Bob Parent,1958-02-19,1,1982,1983,TOR
Gord Reid,1912-02-19,0,1937,1937,NYA
Jason Ryznar,1983-02-19,0,2006,2006,NJD
Raymond Sawada,1985-02-19,2,2009,2011,DAL
Jordan Sigalet,1981-02-19,0,2006,2006,BOS
Gene Sobchuk,1951-02-19,0,1974,1974,VAN
Clayton Stoner,1985-02-19,7,2010,2017,"MIN,ANA"
Jeff Taffe,1981-02-19,9,2003,2012,"PHX,NYR,PIT,FLA,CHI,MIN"
Ryan Whitney,1983-02-19,8,2006,2014,"PIT,ANA,EDM,FLA"
Pierre Bouchard,1948-02-20,11,1971,1982,"MTL,WSH"
Norm Burns,1918-02-20,0,1942,1942,NYR
Wally Clune,1930-02-20,0,1956,1956,MTL
Joe Daley,1943-02-20,3,1969,1972,"PIT,BUF,DET"
Jamie Devane,1991-02-20,0,2014,2014,TOR
Bill Dickie,1916-02-20,0,1942,1942,CBH
Christopher Didomenico,1989-02-20,1,2017,2018,OTT
Phil Esposito*,1942-02-20,17,1964,1981,"CBH,BOS,NYR"
Rick Green,1956-02-20,15,1977,1992,"WSH,MTL,DET,NYI"
Brent Gretzky,1972-02-20,1,1994,1995,TBL
Taylor Hall,1964-02-20,4,1984,1988,"VAN,BOS"
Glen Hanlon,1957-02-20,13,1978,1991,"VAN,STL,NYR,DET"
Martin Hanzal,1987-02-20,11,2008,2019,"PHX,ARI,MIN,DAL"
Gord Haworth,1932-02-20,0,1953,1953,NYR
Mark Kachowski,1965-02-20,2,1988,1990,PIT
Sergei Kharin,1963-02-20,0,1991,1991,WIN
Maxim Letunov,1996-02-20,0,2020,2020,SJS
Ben Lovejoy,1984-02-20,10,2009,2019,"PIT,ANA,NJD,DAL"
Bill Orban,1944-02-20,2,1968,1970,"CBH,MNS"
Blake Pietila,1993-02-20,3,2016,2019,NJD
Bob Ritchie,1955-02-20,1,1977,1978,"DET,PHI"
Christian Ruuttu,1964-02-20,8,1987,1995,"BUF,CHI,VAN"
Dave Scatchard,1976-02-20,13,1998,2011,"VAN,NYI,BOS,PHX,NSH,STL"
Jarred Tinordi,1992-02-20,7,2013,2020,"MTL,ARI,NSH"
Niclas Wallin,1975-02-20,10,2001,2011,"CAR,SJS"
Jake Walman,1996-02-20,0,2020,2020,STL
Brendan Witt,1975-02-20,14,1996,2010,"WSH,NSH,NYI"
Dane Byers,1986-02-21,4,2008,2012,"NYR,CBJ"
Jason Cirone,1971-02-21,0,1992,1992,WIN
Ian Cole,1989-02-21,9,2011,2020,"STL,PIT,CBJ,COL"
Charlie Cotch,1900-02-21,0,1925,1925,"HAM,TRS"
Ken Duggan,1963-02-21,0,1988,1988,MNS
Jerome Dupont,1962-02-21,5,1982,1987,"CBH,TOR"
Brad Fast,1980-02-21,0,2004,2004,CAR
Evgeny Grachev,1990-02-21,1,2011,2012,"NYR,STL"
Danny Grant,1946-02-21,13,1966,1979,"MTL,MNS,DET,LAK"
Hap Holmes*,1888-02-21,10,1918,1928,"TRA,DTC"
Greg Holst,1954-02-21,2,1976,1978,NYR
Hank Lammens,1966-02-21,0,1994,1994,OTT
Mike Laughton,1944-02-21,3,1968,1971,"OAK,CGS"
Mark LaVarre,1965-02-21,2,1986,1988,"CBH,CHI"
Derek Laxdal,1966-02-21,6,1985,1991,"TOR,NYI"
Lynn Loyns,1981-02-21,3,2003,2006,"SJS,CGY"
Wayne McBean,1969-02-21,6,1988,1994,"LAK,NYI,WIN"
Larry Melnyk,1960-02-21,9,1981,1990,"BOS,EDM,NYR,VAN"
Jake Muzzin,1989-02-21,9,2011,2020,"LAK,TOR"
Mark Renaud,1959-02-21,4,1980,1984,"HAR,BUF"
Brian Rolston,1973-02-21,17,1995,2012,"NJD,BOS,COL,MIN,NYI"
Kevin Sawyer,1974-02-21,7,1996,2003,"BOS,STL,PHX,MDA"
Ryan Smyth,1976-02-21,19,1995,2014,"EDM,NYI,COL,LAK"
Don Tannahill,1949-02-21,1,1973,1974,VAN
Mattias Tedenby,1990-02-21,3,2011,2014,NJD
Devon Toews,1994-02-21,1,2019,2020,NYI
Jim Vandermeer,1980-02-21,9,2003,2012,"PHI,CHI,CGY,PHX,EDM,SJS"
James Wisniewski,1984-02-21,10,2006,2016,"CHI,ANA,MTL,NYI,CBJ,CAR"
Jakub Zboril,1997-02-21,0,2019,2019,BOS
Sid Abel*,1918-02-22,15,1939,1954,"DET,CBH"
Jozef Balej,1982-02-22,2,2004,2006,"MTL,NYR,VAN"
Chris Bigras,1995-02-22,2,2016,2018,COL
Patrick Boileau,1975-02-22,7,1997,2004,"WSH,DET,PIT"
Nicolas Deslauriers,1991-02-22,6,2014,2020,"BUF,MTL,ANA"
Aaron Gavey,1974-02-22,10,1996,2006,"TBL,CGY,DAL,MIN,TOR,MDA"
Eddie Gerard*,1890-02-22,5,1918,1923,OTS
Carsen Germyn,1982-02-22,1,2006,2007,CGY
Scott Glennie,1991-02-22,0,2012,2012,DAL
Al Hangsleben,1953-02-22,2,1980,1982,"HAR,WSH,LAK"
Lorne Henning,1952-02-22,8,1973,1981,NYI
Mathias Johansson,1974-02-22,0,2003,2003,"CGY,PIT"
Ty Jones,1979-02-22,5,1999,2004,"CHI,FLA"
Pat LaFontaine*,1965-02-22,14,1984,1998,"NYI,BUF,NYR"
William Lagesson,1996-02-22,0,2020,2020,EDM
Robert Logan,1964-02-22,2,1987,1989,"BUF,LAK"
Jason Marshall,1971-02-22,14,1992,2006,"STL,MDA,WSH,MIN,SJS"
Curtis McKenzie,1991-02-22,3,2015,2018,DAL
Mark McNeill,1993-02-22,1,2016,2017,"CHI,DAL"
Bill Mitchell,1930-02-22,0,1964,1964,DET
Andrej Nestrasil,1991-02-22,2,2015,2017,"CAR,DET"
Mark Paterson,1964-02-22,3,1983,1986,HAR
Paul Postma,1989-02-22,7,2011,2018,"ATL,WPG,BOS"
Joe Reekie,1965-02-22,16,1986,2002,"BUF,NYI,TBL,WSH,CHI"
Earl Roche,1910-02-22,4,1931,1935,"MTM,BOS,OTS,DET,STE"
Dominic Roussel,1970-02-22,9,1992,2001,"PHI,WIN,MDA,EDM"
Ilya Samsonov,1997-02-22,0,2020,2020,WSH
Brent Severyn,1966-02-22,9,1990,1999,"QUE,FLA,NYI,COL,MDA,DAL"
Des Smith,1914-02-22,4,1938,1942,"MTM,MTL,BOS,CBH"
Mike Stothers,1962-02-22,3,1985,1988,"PHI,TOR"
Kevin Wortman,1969-02-22,0,1994,1994,CGY
Tim Young,1955-02-22,9,1976,1985,"MNS,WIN,PHI"
Kevin Connauton,1990-02-23,6,2014,2020,"DAL,CBJ,ARI,COL"
Andre Deveaux,1984-02-23,3,2009,2012,"TOR,NYR"
John Druce,1966-02-23,9,1989,1998,"WSH,WIN,LAK,PHI"
Corey Elkins,1985-02-23,0,2010,2010,LAK
Kris Fredheim,1987-02-23,0,2012,2012,MIN
Jordan Hendry,1984-02-23,5,2008,2013,"CHI,ANA"
Doug Kostynski,1963-02-23,1,1984,1985,BOS
Stefan Matteau,1994-02-23,7,2013,2020,"NJD,MTL,VEG,CBJ"
Mike Meeker,1958-02-23,0,1979,1979,PIT
Greg Meredith,1958-02-23,2,1981,1983,CGY
Jeff O'Neill,1976-02-23,11,1996,2007,"HAR,CAR,TOR"
Peter Scamurra,1955-02-23,4,1976,1980,WSH
Marco Scandella,1990-02-23,9,2011,2020,"MIN,BUF,MTL,STL"
Nick Schmaltz,1996-02-23,3,2017,2020,"CHI,ARI"
Dan Snyder,1978-02-23,2,2001,2003,ATL
Jimmy Thomson,1927-02-23,12,1946,1958,"TOR,CBH"
Mike Torchia,1972-02-23,0,1995,1995,DAL
Earl Anderson,1951-02-24,2,1975,1977,"BOS,DET"
Jonas Andersson,1981-02-24,9,2002,2011,"NSH,VAN"
Tyler Bertuzzi,1995-02-24,3,2017,2020,DET
Jeff Brubaker,1958-02-24,9,1980,1989,"HAR,MTL,CGY,TOR,EDM,NYR,DET"
Murray Costello*,1934-02-24,3,1954,1957,"CBH,BOS,DET"
Tim Coulis,1958-02-24,6,1980,1986,"WSH,MNS"
Don Cutts,1953-02-24,0,1980,1980,EDM
Phillip Danault,1993-02-24,5,2015,2020,"CHI,MTL"
Tim Erixon,1991-02-24,3,2012,2015,"NYR,CBJ,CHI,TOR"
Paul Evans,1955-02-24,1,1977,1978,TOR
Chris Herperger,1974-02-24,3,2000,2003,"CHI,OTT,ATL"
Terry Hollinger,1971-02-24,1,1994,1995,STL
Alex Kovalev,1973-02-24,20,1993,2013,"NYR,PIT,MTL,OTT,FLA"
Francois Lacombe,1948-02-24,11,1969,1980,"OAK,BUF,QUE"
Kevin MacDonald,1966-02-24,0,1994,1994,OTT
Doug McCaig,1919-02-24,9,1942,1951,"DET,CBH"
George Pargeter,1923-02-24,0,1947,1947,MTL
Brian Savage,1971-02-24,12,1994,2006,"MTL,PHX,STL,PHI"
Neil Strain,1926-02-24,0,1953,1953,NYR
Mike Vernon,1963-02-24,19,1983,2002,"CGY,DET,SJS,FLA"
Wojtek Wolski,1986-02-24,7,2006,2013,"COL,PHX,NYR,FLA,WSH"
Justin Abdelkader,1987-02-25,12,2008,2020,DET
Brock Boeser,1997-02-25,3,2017,2020,VAN
Connor Brickley,1992-02-25,3,2016,2019,"FLA,NYR"
Colin Chisholm,1963-02-25,0,1987,1987,MNS
Marian Cisar,1978-02-25,2,2000,2002,NSH
King Clancy*,1903-02-25,15,1922,1937,"OTS,TOR"
Byron Dafoe,1971-02-25,11,1993,2004,"WSH,LAK,BOS,ATL"
Stefan Della Rovere,1990-02-25,0,2011,2011,STL
Joe DiPenta,1979-02-25,5,2003,2008,"ATL,MDA,ANA"
Gary Doak,1946-02-25,15,1966,1981,"BOS,DET,VAN,NYR"
Joel Farabee,2000-02-25,0,2020,2020,PHI
