player,birthday,yrs,from,to,month,day,country
John H.,1855-06-29,NA,NA,NA,6,29,USA
Philip Joseph,1941-12-27,11,1963,1974,12,27,USA
Ralph Michael,1946-10-08,0,1965,1965,10,8,USA
Eric Serge,1976-01-07,9,1999,2008,1,7,CAN
Gregory Carpenter,1961-11-12,14,1983,1997,11,12,USA
John Edward,1883-04-16,1,1914,1915,4,16,USA
Harold Dennis,1897-09-27,2,1922,1924,9,27,USA
Andrew Miles,1990-06-26,1,2018,2019,6,26,USA
Charles Frederick,1862-03-25,0,1884,1884,3,25,USA
Julian Edward,1970-08-13,2,1997,1999,8,13,USA
Dellas Clinton,1886-11-10,13,1909,1922,11,10,USA
Johnathan Keith,1966-10-08,0,1993,1993,10,8,USA
Arnesta Joe,1936-11-22,6,1960,1966,11,22,USA
Willard Roland,1897-12-23,0,1921,1921,12,23,USA
Telmanch,1960-12-25,2,1985,1987,12,25,USA
Frederick Jacob,1885-08-31,0,1908,1908,8,31,Germany
Stephen Robert,1969-12-30,0,1998,1998,12,30,USA
Daniel Michael,1964-05-01,0,1991,1991,5,1,USA
August John,1912-05-23,15,1934,1949,5,23,USA
Matthew Joseph,1944-03-22,NA,NA,NA,3,22,USA
Andres Jose,1961-06-18,19,1985,2004,6,18,Venezuela
Armando Antonio,1982-01-15,5,2007,2012,1,15,Venezuela
Robert Joseph,1952-01-13,4,1977,1981,1,13,USA
Milton,1907-05-04,6,1933,1939,5,4,USA
Dennis Ward,1911-12-07,15,1934,1949,12,7,USA
Richard Blackwell,1954-01-19,6,1978,1984,1,19,USA
Rocky Michael,1988-02-22,4,2015,2019,2,22,USA
Alan Mitchell Edward George Patrick Henry,1945-10-19,3,1970,1973,10,19,USA
Robert Collins,1947-07-07,3,1972,1975,7,7,USA
Cameron Joseph,1992-12-06,2,2017,2019,12,6,USA
David Thomas,1960-09-20,8,1987,1995,9,20,USA
Douglas Eugene,1940-02-21,0,1962,1962,2,21,USA
Edward Michael,1910-11-28,0,1932,1932,11,28,USA
Lawrence Kirby,1896-09-05,0,1922,1922,9,5,USA
John Laurence,1902-01-28,0,1923,1923,1,28,USA
John Carroll,1892-02-18,0,1915,1915,2,18,USA
Joseph Emmett,1914-03-07,1,1939,1940,3,7,USA
Sean Patrick,1985-12-30,3,2007,2010,12,30,USA
Charles William,1872-04-30,0,1901,1901,4,30,USA
William Howard,1874-02-04,0,1896,1896,2,4,USA
Yovani,1986-02-27,11,2007,2018,2,27,Mexico
Giovanny,1991-08-14,2,2017,2019,8,14,Mexico
Michael Anthony,1960-10-31,12,1985,1997,10,31,USA
Stanley Joseph,1919-02-07,0,1942,1942,2,7,USA
Zachary Peter,1995-08-03,0,2019,2019,8,3,USA
Melvin Allys,1891-10-14,8,1912,1920,10,14,USA
Philip Joseph,1907-05-29,3,1931,1934,5,29,USA
John Christopher,1978-04-02,2,2005,2007,4,2,USA
Clarence Edward,1896-08-04,9,1919,1928,8,4,USA
Isaac,1989-10-10,1,2018,2019,10,10,USA
James Cato,1887-09-16,0,1912,1912,9,16,USA
Joseph Nicholas,1993-11-19,4,2015,2019,11,19,USA
Michael Dwain,1977-04-02,3,2003,2006,4,2,USA
Balvino,1964-03-31,0,1986,1986,3,31,D.R.
Freddy Jose,1989-11-14,7,2012,2019,11,14,Venezuela
James Joseph,1907-08-11,0,1930,1930,8,11,USA
James Louis,1863-04-23,0,1884,1884,4,23,USA
James Francis,1856-12-25,17,1875,1892,12,25,USA
Robert,1866-02-06,0,1888,1888,2,6,USA
John Robert,1948-02-10,1,1972,1973,2,10,USA
Lee Jesse,1910-06-28,5,1935,1940,6,28,USA
Oscar Charles,1949-12-20,16,1969,1985,12,20,USA
Eduardo Avila,1984-12-21,0,2016,2016,12,21,USA
Benjamin Joseph,1992-05-17,3,2016,2019,5,17,USA
Mathew Lawrence,1985-07-26,4,2008,2012,7,26,USA
John Ashley,1876-03-17,0,1901,1901,3,17,USA
Gustavo,1971-07-19,0,2001,2001,7,19,USA
Arnold,1888-01-19,9,1910,1919,1,19,USA
Robert Brinkley,1893-08-25,0,1916,1916,8,25,USA
Robert Stephen,1875-04-23,4,1905,1909,4,23,USA
William Patrick,1873-03-17,0,1901,1901,3,17,USA
James Edward,1873-11-26,0,1895,1895,11,26,USA
Michael Joseph,1877-02-22,0,1898,1898,2,22,USA
Joseph Steven,1915-08-25,1,1939,1940,8,25,USA
John Michael,1992-08-06,3,2016,2019,8,6,USA
James Elmer,1953-01-05,16,1976,1992,1,5,USA
Ronald Edwin,1965-03-02,16,1987,2003,3,2,USA
Foster Pirie,1901-05-22,1,1927,1928,5,22,USA
Charles William,1862-06-18,13,1884,1897,6,18,USA
John Henry,1874-04-07,10,1898,1908,4,7,USA
Eddy Jorge,1976-12-02,0,2005,2005,12,2,D.R.
Joseph Henry,1926-02-12,8,1946,1954,2,12,USA
Keith John,1969-10-25,0,1994,1994,10,25,USA
Victor J.,1984-09-25,0,2009,2009,9,25,Venezuela
Robert Michael,1909-11-13,11,1934,1945,11,13,USA
Nathaniel Michael,1916-02-02,1,1944,1945,2,2,USA
Barbaro,1956-12-04,4,1984,1988,12,4,Cuba
Robert Mitchell,1928-09-10,0,1956,1956,9,10,USA
Henry Eugene,1947-11-13,19,1969,1988,11,13,USA
Alexander,1922-06-25,0,1952,1952,6,25,USA
Frank Yeury,1990-01-17,1,2014,2015,1,17,D.R.
Richard Aron,1971-05-18,12,1990,2002,5,18,Venezuela
Adonis,1985-04-12,2,2015,2017,4,12,Cuba
Jose Adolis,1993-03-02,0,2018,2018,3,2,Cuba
Amaury Miguel,1975-05-20,0,1999,1999,5,20,D.R.
Anderson,1981-03-23,0,2007,2007,3,23,D.R.
Aramis Michael,1993-01-12,1,2018,2019,1,12,USA
Avisail Antonio,1991-06-12,7,2012,2019,6,12,Venezuela
Bryan,1995-04-19,0,2019,2019,4,19,USA
Carlos Jesus,1967-10-15,9,1990,1999,10,15,Venezuela
Vinicio Otilio,1924-12-24,0,1954,1954,12,24,Mexico
Christian J.,1985-08-24,0,2012,2012,8,24,USA
Damaso Domingo,1957-02-07,11,1978,1989,2,7,D.R.
Daniel Raphael,1954-04-29,0,1981,1981,4,29,USA
Daniel Joseph,1980-04-12,1,2003,2004,4,12,USA
David,1920-09-15,NA,NA,NA,9,15,USA
Edgar Ernesto,1996-10-04,0,2019,2019,10,4,D.R.
Freddy Adrian,1972-08-01,4,1995,1999,8,1,D.R.
Freddy Antonio,1976-10-06,14,1999,2013,10,6,Venezuela
Greg Joseph,1989-08-08,5,2014,2019,8,8,USA
Guillermo Antonio,1972-04-04,1,1998,1999,4,4,D.R.
Harvey Anderson,1984-03-16,0,2007,2007,3,16,Venezuela
Santiago,1980-07-25,14,2004,2018,7,25,D.R.
Jaime Omar,1986-07-08,10,2008,2018,7,8,Mexico
Jason Emilio,1992-11-21,0,2015,2015,11,21,USA
Jarlin Emmanuel,1993-01-18,2,2017,2019,1,18,D.R.
Jesus Jesse,1973-09-24,6,1999,2005,9,24,USA
Jose Luis,1985-01-07,0,2006,2006,1,7,D.R.
Gustavo Karim,1975-10-29,9,1995,2004,10,29,Mexico
Alfonso Rafael,1953-10-14,9,1976,1985,10,14,USA
Leonardo Antonio,1962-11-06,1,1987,1988,11,6,D.R.
Leury,1991-03-18,6,2013,2019,3,18,D.R.
Luis Rafael,1975-05-20,0,1999,1999,5,20,D.R.
Luis Carlos,1975-09-22,0,2002,2002,9,22,Mexico
Luis Amado,1987-01-30,6,2013,2019,1,30,D.R.
Edward Miguel,1923-11-17,13,1948,1961,11,17,USA
Miguel Angel,1967-04-03,2,1987,1989,4,3,Venezuela
Michael R.,1968-05-11,1,1999,2000,5,11,USA
Anthony Nomar,1973-07-23,13,1996,2009,7,23,USA
Onelki,1989-08-02,4,2013,2017,8,2,Cuba
Pedro Modesto,1950-04-17,4,1973,1977,4,17,P.R.
Ramon,1924-03-05,0,1948,1948,3,5,Cuba
Ralph,1948-12-14,2,1972,1974,12,14,USA
Ramon Antonio,1969-02-09,6,1991,1997,2,9,Venezuela
Reynaldo,1974-04-15,1,2002,2003,4,15,D.R.
Joshua Rico,1994-01-10,0,2019,2019,1,10,USA
Rosman Jose,1979-01-03,1,2003,2004,1,3,Venezuela
Robel E.,1993-03-28,0,2019,2019,3,28,D.R.
Willy Camilo,1992-09-04,0,2017,2017,9,4,D.R.
Yimi,1990-08-18,5,2014,2019,8,18,D.R.
Alfred Stephen,1918-01-11,0,1945,1945,1,11,USA
Daniel Lewis,1920-02-26,6,1944,1950,2,26,USA
Nick,1993-08-15,1,2017,2018,8,15,USA
Ronald Clyde,1957-10-24,4,1981,1985,10,24,Germany
Arthur Cecil,1899-12-26,0,1923,1923,12,26,USA
Michael James,1965-10-19,5,1990,1995,10,19,CAN
Alexander,1861-04-28,0,1884,1884,4,28,CAN
Arthur Junior,1952-09-21,3,1975,1978,9,21,USA
William Frederick,1927-07-19,9,1954,1963,7,19,USA
Brett M.,1983-08-24,11,2008,2019,8,24,USA
Christopher John,1969-03-30,0,1991,1991,3,30,USA
Earle McClurkin,1884-01-24,4,1908,1912,1,24,USA
Franklin Washington,1859-05-06,9,1879,1888,5,6,USA
Miles Glenn,1916-01-25,0,1945,1945,1,25,USA
Harry Ray,1887-06-01,1,1911,1912,6,1,USA
Jeffrey Scott,1964-02-04,3,1991,1994,2,4,USA
James Andrew,1873-10-04,7,1895,1902,10,4,USA
William Lawrence,1886-05-13,16,1908,1924,5,13,USA
Terrence Lee,1975-01-16,6,2002,2008,1,16,USA
Mark Allan,1962-03-01,12,1989,2001,3,1,USA
Raymond Vincent,1901-10-25,1,1929,1930,10,25,USA
Richard Frank,1944-12-19,8,1965,1973,12,19,USA
Wesley Brian,1961-04-29,7,1984,1991,4,29,USA
William Milton,1867-10-26,1,1889,1890,10,26,USA
Arthur Edward,1907-08-21,0,1936,1936,8,21,USA
Robert Roy,1942-03-03,7,1962,1969,3,3,USA
Daniel,1973-02-14,0,2000,2000,2,14,Mexico
Ryan Francis,1981-01-02,5,2005,2010,1,2,USA
Jon Steven,1979-09-27,13,2000,2013,9,27,USA
Louis Lyman,1905-07-16,0,1931,1931,7,16,USA
Marcus Wayne,1950-10-26,8,1973,1981,10,26,USA
Kyle Bruce,1992-01-26,0,2019,2019,1,26,USA
Michael Douglas,1949-09-16,9,1969,1978,9,16,USA
Debs C.,1907-06-26,13,1932,1945,6,26,USA
Robert Cole,1984-12-15,0,2011,2011,12,15,USA
Dustin Thomas,1987-08-13,4,2015,2019,8,13,USA
Percival,1988-12-13,0,2016,2016,12,13,USA
Philip Mason,1949-04-30,15,1973,1988,4,30,USA
William,1877-07-28,0,1899,1899,7,28,USA
Henry Adrian,1943-01-03,10,1966,1976,1,3,USA
Amir Jamal,1992-05-03,2,2017,2019,5,3,USA
Clarence Raymond,1891-03-06,0,1915,1915,3,6,USA
Gregory,1947-03-12,1,1970,1971,3,12,USA
Reed,1993-01-02,0,2019,2019,1,2,USA
Scott William,1961-10-30,9,1982,1991,10,30,USA
Ronald Wayne,1947-12-03,9,1969,1978,12,3,USA
Virgil Cecil,1916-08-15,0,1946,1946,8,15,USA
Clifford William,1906-08-13,0,1928,1928,8,13,USA
Robert Ford,1915-08-29,3,1943,1946,8,29,USA
Gil Gonzalo,1941-06-26,8,1964,1972,6,26,Panama
Francis Joseph,1908-02-04,0,1931,1931,2,4,USA
Stevenson Nathaniel,1986-09-12,0,2011,2011,9,12,USA
Webster Leotis,1965-08-24,0,1996,1996,8,24,USA
Ralph Allen,1945-12-12,12,1968,1980,12,12,USA
James Thomas,1869-09-21,0,1893,1893,9,21,USA
Ryan Patrick,1989-12-05,3,2016,2019,12,5,USA
Mitchell Lyn,1991-01-15,2,2017,2019,1,15,USA
Ned Franklin,1925-12-25,13,1948,1961,12,25,USA
Steven Patrick,1948-12-22,18,1969,1987,12,22,USA
Theodore Jared,1955-10-21,5,1977,1982,10,21,USA
Virgil Lee,1874-01-01,8,1896,1904,1,1,USA
Matthew Scott,1983-11-26,11,2006,2017,11,26,USA
Harry Lambert,1883-04-28,3,1909,1912,4,28,USA
Rodney Earl,1946-04-03,5,1969,1974,4,3,USA
Charles Cason,1918-08-12,2,1944,1946,8,12,USA
David K.,1978-12-14,0,2005,2005,12,14,USA
Thomas Everett,1932-06-13,1,1955,1956,6,13,USA
Edward,1865-08-01,1,1884,1885,8,1,USA
John Walter,1989-02-16,0,2013,2013,2,16,USA
Alexander Nathaniel,1893-03-12,9,1920,1929,3,12,USA
Clarence Edwin,1944-03-17,11,1967,1978,3,17,USA
Nathaniel Milton,1896-01-27,10,1924,1934,1,27,USA
Welcome Thornburg,1874-12-19,1,1898,1899,12,19,USA
Henry Carl,1865-03-29,7,1889,1896,3,29,USA
Brent Robert,1970-03-14,6,1993,1999,3,14,USA
Joseph Daniel,1954-10-03,1,1978,1979,10,3,USA
Michael Grant,1956-09-20,1,1981,1982,9,20,USA
Aubrey Lee,1938-11-17,7,1963,1970,11,17,USA
Joey Renard,1981-04-27,7,2004,2011,4,27,USA
Frank Anthony,1871-03-06,3,1898,1901,3,6,USA
James Evan,1986-08-18,5,2013,2018,8,18,USA
John David,1985-04-28,0,2011,2011,4,28,USA
James Jennings,1955-06-03,1,1978,1979,6,3,USA
Chad Edward,1983-03-24,10,2003,2013,3,24,USA
Michael John,1869-08-04,0,1889,1889,8,4,USA
Kevin John,1991-01-06,6,2013,2019,1,6,USA
Walter Paul,1901-07-26,3,1925,1928,7,26,USA
Sidney Allen,1912-05-04,1,1936,1937,5,4,USA
Samuel Joseph,1990-05-22,2,2017,2019,5,22,USA
George Joseph,1892-03-13,0,1920,1920,3,13,USA
Michael,1895-10-13,5,1923,1928,10,13,USA
Dale Dudley,1872-02-02,5,1896,1901,2,2,USA
Lloyd William,1923-08-10,0,1947,1947,8,10,USA
Dennis John,1897-10-15,1,1923,1924,10,15,USA
Cory Nathanial,1986-04-14,8,2011,2019,4,14,USA
Robert Norton,1891-05-10,3,1918,1921,5,10,USA
Geoffrey Michael,1976-08-26,6,2003,2009,8,26,USA
Eugene Francis Joseph,1917-01-22,1,1942,1943,1,22,USA
Robert Henry,1943-01-03,3,1971,1974,1,3,USA
Peter,1923-08-10,0,1947,1947,8,10,USA
James Lee,1949-03-23,1,1972,1973,3,23,USA
Elmer John,1917-04-15,0,1939,1939,4,15,USA
Elmer Joseph,1893-12-05,7,1913,1920,12,5,USA
Richard Leo,1959-09-26,12,1980,1992,9,26,USA
Alfred W.,1849-05-06,3,1872,1875,5,6,USA
Dillon Kyle,1986-04-28,7,2010,2017,4,28,USA
John Alexander,1915-12-07,7,1939,1946,12,7,USA
Joshua Brent,1983-06-02,1,2008,2009,6,2,USA
Charles Leonard,1903-05-11,18,1924,1942,5,11,USA
Henry,1881-01-24,1,1907,1908,1,24,USA
Henry Louis,1903-06-19,16,1923,1939,6,19,USA
Paul Arthur,1912-05-03,0,1937,1937,5,3,USA
Philip Louis,1876-11-03,8,1896,1904,11,3,USA
Gary Merle,1937-04-04,12,1958,1970,4,4,USA
William J.,1858-07-15,2,1882,1884,7,15,USA
John David,1955-01-18,7,1978,1985,1,18,USA
Vernon William,1946-01-10,0,1969,1969,1,10,USA
Emil August,1865-03-20,0,1887,1887,3,20,USA
Charles Magnus,1906-01-26,11,1929,1940,1,26,USA
John Richard,1943-06-25,7,1964,1971,6,25,USA
Steven Andrew,1987-11-01,4,2012,2016,11,1,USA
Joseph Edward,1897-01-15,8,1922,1930,1,15,USA
C. Frank,1866-11-02,9,1892,1901,11,2,USA
Ryan Joseph,1990-05-01,6,2013,2019,5,1,USA
George Michael,1922-02-22,0,1950,1950,2,22,USA
James Edward,1934-06-03,9,1957,1966,6,3,USA
Samuel Christopher,1916-10-12,0,1943,1943,10,12,USA
Craig Alan,1983-11-29,9,2009,2018,11,29,USA
Gary Edward,1946-10-06,6,1969,1975,10,6,USA
Harvey William,1926-05-27,0,1954,1954,5,27,USA
James Ruffus,1918-05-18,5,1943,1948,5,18,USA
Alex Thomas M.,1938-09-27,0,1955,1955,9,27,USA
William,1865-01-27,2,1887,1889,1,27,USA
Christopher Sean,1966-09-24,0,1991,1991,9,24,USA
Christopher Coleman,1979-09-16,3,2001,2004,9,16,USA
Charles Peter,1912-12-25,10,1935,1945,12,25,USA
Thomas Edward,1886-08-13,7,1911,1918,8,13,USA
Oscar John,1916-11-25,0,1938,1938,11,25,USA
Benjamin Raymond,1912-07-19,8,1936,1944,7,19,USA
David Frederick,1936-08-06,0,1962,1962,8,6,USA
Craig Stuart,1959-01-08,0,1985,1985,1,8,USA
George Alois,1942-03-08,0,1962,1962,3,8,USA
Michael Jeffrey,1992-07-08,1,2018,2019,7,8,USA
Walter,1891-08-18,15,1914,1929,8,18,USA
Robert Peter,1961-09-22,5,1988,1993,9,22,USA
John Joseph,1855-02-14,18,1873,1891,2,14,USA
Harold Kenneth,1961-05-19,2,1986,1988,5,19,USA
Allen Russell,1950-08-13,0,1974,1974,8,13,USA
Albert,1917-06-24,5,1943,1948,6,24,USA
George Herbert,1903-07-28,1,1927,1928,7,28,USA
Stephen Paul,1912-11-19,0,1945,1945,11,19,USA
John Glenn,1917-05-11,1,1938,1939,5,11,USA
Domingo,1992-08-04,2,2017,2019,8,4,D.R.
Esteban,1978-01-26,9,2002,2011,1,26,D.R.
Franklyn Miguel,1980-01-20,6,2002,2008,1,20,D.R.
Justin William,1982-08-06,10,2004,2014,8,6,USA
Lester Stanley,1869-06-01,7,1890,1897,6,1,USA
Gonzalez German,1987-09-23,3,2013,2016,9,23,D.R.
Richard Edward,1928-09-28,10,1952,1962,9,28,USA
Edwin Frederick,1897-07-22,0,1919,1919,7,22,USA
Cesar Francisco,1948-03-11,14,1969,1983,3,11,D.R.
Louis Wilhelm,1875-05-04,2,1901,1903,5,4,USA
Joseph Diego,1977-09-18,7,2003,2010,9,18,USA
Lucien Edward,1890-07-06,0,1913,1913,7,6,USA
Samuel,1985-01-10,1,2009,2010,1,10,D.R.
Henry Homer,1880-12-23,8,1903,1911,12,23,USA
Allen Jones,1917-09-17,10,1945,1955,9,17,USA
Byron Earl,1980-03-13,0,2004,2004,3,13,USA
Lewis Thomas Leyton,1868-12-11,6,1889,1895,12,11,USA
Jacob John,1875-10-25,2,1897,1899,10,25,Russia
Christopher Ryan,1983-08-30,6,2008,2014,8,30,USA
Gustave,1889-08-03,9,1909,1918,8,3,USA
Charles H.,1864-02-14,8,1884,1892,2,14,Germany
Jacob Bowman,1884-03-26,3,1910,1913,3,26,USA
James Edward,1903-06-03,2,1924,1926,6,3,USA
Edward Patrick,1892-03-13,14,1916,1930,3,13,USA
Anthony Paul,1961-08-23,0,1983,1983,8,23,USA
Robert Paul,1937-05-20,0,1958,1958,5,20,USA
Jason Gilbert,1971-01-08,19,1995,2014,1,8,USA
Jeremy Dean,1974-09-30,5,1998,2003,9,30,USA
Joseph Francis,1888-09-08,0,1911,1911,9,8,USA
Raymond John,1966-02-05,4,1991,1995,2,5,USA
Joseph Oscar,1898-10-07,2,1925,1927,10,7,USA
Anthony James,1982-11-29,0,2005,2005,11,29,USA
Johnny Arthur,1987-07-10,6,2011,2017,7,10,USA
Ian Philip,1993-11-19,0,2019,2019,11,19,USA
Jay Jonathan,1977-03-02,10,2001,2011,3,2,USA
Joseph Charles,1935-04-10,12,1960,1972,4,10,USA
John Michael,1962-06-08,2,1984,1986,6,8,USA
Jerry Dean,1938-11-07,9,1962,1971,11,7,USA
Stephan Benson,1972-10-09,1,1995,1996,10,9,USA
Robert,1935-11-09,16,1959,1975,11,9,USA
Robert Louis,1957-06-19,4,1983,1987,6,19,USA
Charles Ellsworth,1879-11-17,0,1905,1905,11,17,USA
Charles Griffin,1899-11-21,0,1924,1924,11,21,USA
Derrick Lamont,1975-02-05,1,1998,1999,2,5,USA
Frank Gilbert,1890-09-27,14,1913,1927,9,27,USA
George C.,1880-07-22,13,1905,1918,7,22,CAN
Joshua,1911-12-21,NA,NA,NA,12,21,USA
Kirk Harold,1957-05-28,16,1979,1995,5,28,USA
Kyle Benjamin,1987-10-23,6,2013,2019,10,23,USA
Norwood Ringold,1877-03-11,3,1903,1906,3,11,USA
Paul Marshall,1960-01-04,8,1988,1996,1,4,USA
Robert Murray,1869-08-20,0,1890,1890,8,20,USA
John Russell,1939-05-06,5,1967,1972,5,6,USA
Samuel Braxton,1899-08-05,6,1926,1932,8,5,USA
Leighton P.,1868-10-06,0,1888,1888,10,6,USA
George Edward,1915-10-18,1,1937,1938,10,18,USA
Byron Brett,1963-08-08,3,1987,1990,8,8,USA
James Leslie,1953-09-26,0,1975,1975,9,26,USA
Floyd George,1909-12-10,2,1939,1941,12,10,USA
Joseph Henry,1891-11-30,0,1913,1913,11,30,USA
Paul Robert,1932-09-29,7,1954,1961,9,29,USA
Daniel Joshua,1977-05-19,2,2007,2009,5,19,USA
James H.,1845-10-18,NA,NA,NA,10,18,USA
Robert Thomas,1933-08-13,3,1959,1962,8,13,USA
Norman Phillip,1938-05-12,0,1967,1967,5,12,USA
Romar Benjamin,1972-10-06,10,1993,2003,10,6,Mexico
Andrew,1914-07-18,4,1942,1946,7,18,USA
Alfred Gideon,1868-03-13,0,1892,1892,3,13,USA
William Oliver,1876-06-21,8,1901,1909,6,21,USA
Drew Edward,1935-07-26,0,1959,1959,7,26,USA
Charles Mader,1919-07-08,7,1940,1947,7,8,USA
Harry H.,1868-07-08,0,1890,1890,7,8,USA
John Robert,1875-09-04,6,1898,1904,9,4,USA
John G.,1864-01-08,0,1890,1890,1,8,USA
Joe Dennis,1952-04-20,1,1972,1973,4,20,USA
Lawrence William,1891-12-03,1,1914,1915,12,3,USA
Mark David,1956-08-22,0,1985,1985,8,22,USA
Peter,1867-09-06,4,1890,1894,9,6,USA
Albert Shawn,1965-03-12,3,1997,2000,3,12,USA
Harold Joseph,1929-04-04,3,1950,1953,4,4,USA
Walter John,1900-12-19,4,1928,1932,12,19,USA
William Freeman,1947-09-03,3,1971,1974,9,3,USA
Rodney Joe,1952-09-24,6,1972,1978,9,24,USA
Donald Loren,1935-04-19,3,1959,1962,4,19,USA
Brian Jeffrey,1960-04-27,9,1981,1990,4,27,USA
Brian Stephen,1971-01-20,14,1995,2009,1,20,USA
Kenneth Robert,1990-09-20,5,2014,2019,9,20,USA
Marcus William,1978-05-18,6,2001,2007,5,18,USA
Warren Crandall,1896-05-28,NA,NA,NA,5,28,USA
Jason Edward,1976-08-31,0,2003,2003,8,31,USA
Geronimo,1975-08-07,6,2001,2007,8,7,Mexico
Tomas Gustavo,1939-04-19,4,1967,1971,4,19,Venezuela
George Lewis,1899-09-08,1,1920,1921,9,8,USA
Frank Patrick,1892-06-10,8,1911,1919,6,10,USA
Jerry Bienvenido,1982-10-14,3,2004,2007,10,14,D.R.
Otis Bernard,1966-09-24,11,1990,2001,9,24,USA
Robert James,1864-07-02,6,1887,1893,7,2,USA
Conor Michael,1987-07-18,9,2008,2017,7,18,USA
Robert William,1919-10-08,6,1944,1950,10,8,USA
Carden Edison,1917-05-13,8,1940,1948,5,13,USA
Claral Lewis,1900-05-20,0,1923,1923,5,20,USA
Cole Braden,1984-06-20,6,2010,2016,6,20,USA
Edward James,1895-08-07,0,1919,1919,8,7,USA
John Patrick,1900-02-25,0,1922,1922,2,25,USA
John William Linden,1862-05-03,0,1890,1890,5,3,USA
Paul Allen,1920-09-18,3,1942,1945,9,18,USA
Peter Patrick,1851-11-30,7,1880,1887,11,30,USA
Samuel,1867-11-14,4,1893,1897,11,14,USA
Thomas J.,1862-05-18,2,1884,1886,5,18,USA
Thomas Bradford,1962-07-02,0,1990,1990,7,2,USA
George Lloyd,1909-02-13,2,1937,1939,2,13,USA
Harold Edward,1899-01-23,0,1923,1923,1,23,USA
Andrew Bernard,1856-01-03,13,1875,1888,1,3,USA
Grant,1901-01-24,2,1927,1929,1,24,USA
John Patrick,1885-10-18,1,1909,1910,10,18,USA
James William,1928-10-17,13,1953,1966,10,17,USA
Paul Gant,1945-01-12,0,1967,1967,1,12,USA
Lawrence Patrick D.,1937-08-22,NA,NA,NA,8,22,USA
James Clifford,1865-09-29,0,1889,1889,9,29,USA
John Wesley,1905-03-27,9,1927,1936,3,27,USA
George Fred,1875-02-28,0,1898,1898,2,28,USA
Warren Darst,1878-12-21,0,1908,1908,12,21,USA
James Joseph,1870-06-14,0,1893,1893,6,14,USA
Pitkin Clark,1864-03-14,0,1884,1884,3,14,USA
Sean Patrick,1990-05-08,4,2015,2019,5,8,USA
Franklin T.,1864-04-27,2,1886,1888,4,27,USA
Ernest Grover,1888-11-01,1,1914,1915,11,1,USA
Leonard Preston,1917-11-03,0,1944,1944,11,3,USA
John M.,1869-10-26,1,1895,1896,10,26,USA
Harold,1942-02-09,0,1968,1968,2,9,USA
Christopher Paul,1982-12-27,9,2009,2018,12,27,USA
Hector C.,1982-09-28,7,2006,2013,9,28,Venezuela
Caleb Charles,1988-08-31,1,2013,2014,8,31,USA
William Joseph,1872-11-07,0,1899,1899,11,7,USA
Joseph John,1893-01-10,0,1915,1915,1,10,USA
Kevin Andrew,1994-03-24,0,2019,2019,3,24,USA
Tinsley Rucker,1891-09-26,0,1914,1914,9,26,USA
Myron Nathan,1926-10-11,14,1948,1962,10,11,USA
Keith Michael,1976-05-05,5,2000,2005,5,5,USA
Matthew Shane,1977-12-24,8,2000,2008,12,24,USA
Lucas Frost,1994-07-14,3,2016,2019,7,14,USA
Albert Francis,1922-03-08,3,1944,1947,3,8,USA
Thomas Arthur,1925-10-09,0,1953,1953,10,9,USA
Edward Thomas,1969-03-04,4,1995,1999,3,4,USA
Charles Wells,1972-12-16,7,1998,2005,12,16,USA
Charles August,1884-12-16,0,1910,1910,12,16,USA
Joseph Elliott,1964-10-14,14,1989,2003,10,14,USA
Chad Alan,1991-02-06,0,2016,2016,2,6,USA
Christopher Odell,1978-01-04,0,2004,2004,1,4,USA
Angelo John,1912-11-24,7,1936,1943,11,24,USA
David John,1939-11-27,15,1962,1977,11,27,USA
Brian Allen,1965-11-06,1,1995,1996,11,6,USA
Mychal Antonio,1990-05-13,4,2015,2019,5,13,USA
Clinton Daniel,1957-07-07,10,1983,1993,7,7,USA
Fred Earl,1936-06-28,12,1961,1973,6,28,USA
James Walter,1922-10-02,0,1946,1946,10,2,USA
Frederick Monroe,1876-01-25,6,1902,1908,1,25,USA
Joseph Albert Rolland Edouard,1911-05-10,0,1944,1944,5,10,CAN
John Burke,1894-07-28,0,1920,1920,7,28,USA
Douglas Metunwa,1970-08-25,8,1996,2004,8,25,USA
Norman Matthew,1894-08-31,0,1920,1920,8,31,USA
Tyler Allen,1993-08-23,3,2016,2019,8,23,USA
John Wesley,1857-07-22,16,1879,1895,7,22,USA
Thomas Joseph,1898-04-29,0,1925,1925,4,29,USA
Keith Harris,1972-01-18,2,1998,2000,1,18,USA
Troy Edward,1976-08-03,12,1998,2010,8,3,USA
Luke Frank,1893-01-17,0,1913,1913,1,17,USA
Michael Patrick,1973-01-24,0,2003,2003,1,24,USA
Thomas Giatano,1923-10-26,4,1949,1953,10,26,USA
Thomas Michael,1966-03-25,21,1987,2008,3,25,USA
Daniel Ralph,1881-03-13,2,1906,1908,3,13,USA
Charles Franklin,1893-09-17,4,1920,1924,9,17,USA
William G.,1858-11-12,7,1882,1889,11,12,USA
William Patrick,1894-09-06,5,1916,1921,9,6,USA
Harry Gilbert,1875-03-28,4,1901,1905,3,28,USA
John Day,1854-07-14,9,1877,1886,7,14,USA
Joseph Paul,1895-07-09,2,1920,1922,7,9,USA
William J.,1866-10-26,24,1888,1912,10,26,USA
Roy William,1943-04-09,0,1963,1963,4,9,USA
Jerry Don,1957-09-14,13,1979,1992,9,14,USA
