player,birthday,yrs
Chris Webber,1973-03-01,15
Brian Winters,1952-03-01,9
Nicolás Brussino,1993-03-02,2
Ned Endress,1918-03-02,1
John Hazen,1927-03-02,1
Jonas Jerebko,1987-03-02,9
Mike McCarron,1922-03-02,2
Dexter Pittman,1988-03-02,4
Dwayne Polee,1963-03-02,1
Jason Smith,1986-03-02,11
Don Carlos,1944-03-03,1
Cornelius Cash,1952-03-03,1
Pete Darcey,1930-03-03,1
Billy Evans,1947-03-03,1
Jim Jarvis,1943-03-03,2
Cameron Johnson,1996-03-03,1
Johnny Moore,1958-03-03,9
Dan O'Sullivan,1968-03-03,4
Frank Radovich,1938-03-03,1
Jayson Tatum,1998-03-03,3
Willie Wise,1947-03-03,9
Guillermo Díaz,1985-03-04,1
Alex Garcia,1980-03-04,2
Draymond Green,1990-03-04,8
Trenton Hassell,1979-03-04,9
Kevin Johnson,1966-03-04,12
Gal Mekel,1988-03-04,2
Jack Parkinson,1924-03-04,1
Frank Reddout,1931-03-04,1
Jared Sullinger,1992-03-04,5
Matisse Thybulle,1997-03-04,1
Corey Brewer,1986-03-05,13
Leroy Chollet,1925-03-05,2
Larry Drew,1990-03-05,2
Charles Dudley,1950-03-05,6
Corsley Edwards,1979-03-05,1
Brian Grant,1972-03-05,12
Carroll Hooser,1944-03-05,1
Cedric Jackson,1986-03-05,1
Šarūnas Jasikevičius,1976-03-05,2
Tom Kelly,1924-03-05,1
Rob Kurz,1985-03-05,1
Emmanuel Mudiay,1996-03-05,5
Johnny Norlander,1921-03-05,5
Mason Plumlee,1990-03-05,7
Bob Quick,1946-03-05,4
Scott Skiles,1964-03-05,10
Wally Szczerbiak,1977-03-05,10
Reggie Williams,1964-03-05,10
Don Boven,1925-03-06,3
Dwight Buycks,1989-03-06,3
John Celestand,1977-03-06,1
Michael Finley,1973-03-06,15
Sleepy Floyd,1960-03-06,13
Josh Hart,1995-03-06,3
John Jenkins,1991-03-06,6
Coby Karl,1983-03-06,2
Negele Knight,1967-03-06,6
Darrick Martin,1971-03-06,13
Malcolm Miller,1993-03-06,3
Kevin Murphy,1990-03-06,1
Shaquille O'Neal*,1972-03-06,19
Greg Ostertag,1973-03-06,11
Marcus Smart,1994-03-06,6
Irv Torgoff,1917-03-06,3
Elnardo Webster,1948-03-06,1
Cedric Bozeman,1983-03-07,1
Ian Clark,1991-03-07,6
Greg Fillmore,1947-03-07,2
Litterial Green,1970-03-07,5
Jake Layman,1994-03-07,4
John O'Boyle,1928-03-07,1
Andy Phillip*,1922-03-07,11
Bob Rensberger,1921-03-07,1
Devin Robinson,1995-03-07,2
Lester Selvage,1943-03-07,2
Grant Simmons,1943-03-07,2
Oliver Taylor,1947-03-07,4
Sam Williams,1959-03-07,4
Jeff Withey,1990-03-07,5
Bobby Edmonds,1941-03-08,2
Michael Frazier,1994-03-08,1
Marko Guduric,1995-03-08,1
Robbie Hummel,1989-03-08,2
Kenny Smith,1965-03-08,10
Sasha Vujačić,1984-03-08,10
Isaiah Whitehead,1995-03-08,2
Buck Williams,1960-03-08,17
Bob Wilson,1926-03-08,1
Mahmoud Abdul-Rauf,1969-03-09,9
Matt Barnes,1980-03-09,14
Dwaine Dillard,1949-03-09,1
Adonal Foyle,1975-03-09,12
Tom King,1924-03-09,1
Jeff Lamp,1959-03-09,6
Boniface N'Dong,1977-03-09,1
Ronnie Robinson,1951-03-09,2
Ben Schadler,1924-03-09,1
Wayne Simien,1983-03-09,2
Keith Smith,1964-03-09,1
Joe Thomas,1948-03-09,1
Darrell Walker,1961-03-09,10
Ron Widby,1945-03-09,1
Jeff Wilkins,1955-03-09,6
Kwame Brown,1982-03-10,12
Jackie Butler,1985-03-10,3
Austin Carr,1948-03-10,10
Pat Durham,1967-03-10,2
Bulbs Ehlers,1923-03-10,2
Leroy Ellis,1940-03-10,14
Bill Gaines,1946-03-10,1
Kirk Haston,1979-03-10,2
Zach LaVine,1995-03-10,6
Ricky Marsh,1954-03-10,1
Tim McCormick,1962-03-10,8
Dick Murphy,1921-03-10,1
Andy O'Donnell,1925-03-10,1
Quincy Pondexter,1988-03-10,7
Robert Smith,1955-03-10,7
Chris Taft,1985-03-10,1
Pete Williams,1965-03-10,2
Mark Workman,1930-03-10,2
Tom Barker,1955-03-11,2
Vince Boryla,1927-03-11,5
Elton Brand,1979-03-11,17
Greg Butler,1966-03-11,3
Anthony Davis,1993-03-11,8
Malcolm Delaney,1989-03-11,2
Rod Derline,1952-03-11,2
Cedric Henderson,1975-03-11,5
Orlando Johnson,1989-03-11,3
Fred Jones,1979-03-11,7
Terry Kunze,1943-03-11,1
Jim McMillian,1948-03-11,9
Shellie McMillon,1936-03-11,4
Jackie Moreland,1938-03-11,8
Tom Sewell,1962-03-11,1
Ray Spalding,1997-03-11,1
Martynas Andriuškevičius,1986-03-12,1
Charlie Bell,1979-03-12,7
Chris Carr,1974-03-12,6
Carsen Edwards,1998-03-12,1
Jerami Grant,1994-03-12,6
Kleggie Hermsen,1923-03-12,6
Bob Houbregs*,1932-03-12,5
Johnny Jones,1943-03-12,2
Maurice King,1935-03-12,2
Grant Long,1966-03-12,15
Erwin Mueller,1944-03-12,8
John Richter,1937-03-12,1
Isaiah Rider,1971-03-12,9
Rex Walters,1970-03-12,7
Rickey Williams,1957-03-12,1
Caron Butler,1980-03-13,14
Dave Hoppen,1964-03-13,6
Troy Hudson,1976-03-13,11
Bobby Jackson,1973-03-13,12
Kurt Nimphius,1958-03-13,8
Jack Parr,1936-03-13,1
Bill Roberts,1925-03-13,2
Cliff Robinson,1960-03-13,11
Oliver Robinson,1960-03-13,1
Landry Shamet,1997-03-13,2
Fatty Taylor,1946-03-13,8
Tristan Thompson,1991-03-13,9
Marvin Bagley,1999-03-14,2
Anthony Bennett,1993-03-14,4
Darrell Brown,1923-03-14,1
Stephen Curry,1988-03-14,11
Bob Fitzgerald,1923-03-14,2
Ira Harge,1941-03-14,6
Larry Johnson,1969-03-14,10
Clyde Lee,1944-03-14,10
Henry Logan,1946-03-14,2
Max Morris,1925-03-14,1
Patrick Patterson,1989-03-14,10
Chuck Share,1927-03-14,9
Keith Starr,1954-03-14,1
Wes Unseld*,1946-03-14,13
Samuel Watts,1948-03-14,1
Terry Cummings,1961-03-15,18
Xavier Henry,1991-03-15,5
John Janisch,1920-03-15,2
Kevin Loder,1959-03-15,3
Jabari Parker,1995-03-15,6
Connie Simmons,1925-03-15,10
Brady Walker,1921-03-15,4
Sergei Bazarevich,1965-03-16,1
Jim Bradley,1952-03-16,3
Reggie Bullock,1991-03-16,7
Toney Douglas,1986-03-16,8
Joel Embiid,1994-03-16,4
Blake Griffin,1989-03-16,10
Tim Hardaway,1992-03-16,7
Bob Harris,1927-03-16,5
Porter Meriwether,1940-03-16,1
Matt Othick,1969-03-16,1
Trevor Wilson,1968-03-16,4
Danny Ainge,1959-03-17,14
Sam Bowie,1961-03-17,10
Steve Bucknall,1966-03-17,1
Chris Copeland,1984-03-17,4
Bobby Croft,1946-03-17,1
Pat Dunn,1931-03-17,1
Kyle Korver,1981-03-17,17
Clyde Mayes,1953-03-17,2
Jeremy Pargo,1986-03-17,3
Thomas Robinson,1991-03-17,5
Terry Rozier,1994-03-17,5
Willie Somerset,1942-03-17,3
Kedrick Brown,1981-03-18,4
Sherron Collins,1987-03-18,1
Kris Dunn,1994-03-18,4
Fred Foster,1946-03-18,8
Steve Goodrich,1976-03-18,2
Solomon Hill,1991-03-18,7
Bill Jones,1966-03-18,1
Stanton Kidd,1992-03-18,1
Skal Labissière,1996-03-18,4
Mike Lewis,1946-03-18,6
Glenn McDonald,1952-03-18,3
C.J. Miles,1987-03-18,15
Jeff Mullins,1942-03-18,12
Kasib Powell,1981-03-18,1
Soumaila Samake,1978-03-18,2
Brian Scalabrine,1978-03-18,11
Jake Weber,1918-03-18,1
Win Wilfong,1933-03-18,4
Dale Wilkinson,1960-03-18,1
Ivica Zubac,1997-03-18,4
Nate Bowman,1943-03-19,6
Dudley Bradley,1957-03-19,9
Anthony Cook,1967-03-19,4
Antonio Daniels,1975-03-19,13
Larry Fogle,1953-03-19,1
Donte Grantham,1995-03-19,1
Tyrone Hill,1968-03-19,14
Casey Jacobsen,1981-03-19,4
Scott May,1954-03-19,7
Andre Miller,1976-03-19,17
Murray Mitchell,1923-03-19,1
James Phelan,1929-03-19,1
Miloš Teodosić,1987-03-19,2
Hedo Türkoğlu,1979-03-19,15
Ben Uzoh,1988-03-19,2
John Barnhill,1938-03-20,10
Mookie Blaylock,1967-03-20,13
Ronnie Brewer,1985-03-20,8
Jon Brockman,1987-03-20,3
Jimmy Conner,1953-03-20,1
Jamal Crawford,1980-03-20,20
Derrek Dickey,1951-03-20,5
Wyndol Gray,1922-03-20,2
Bobby Lewis,1945-03-20,4
Leo Rautins,1960-03-20,2
Pat Riley*,1945-03-20,9
JaKarr Sampson,1993-03-20,5
Belus Smawley,1918-03-20,6
Phil Walker,1956-03-20,1
Bob Warlick,1941-03-20,5
Solomon Alabi,1988-03-21,2
Orbie Bowling,1939-03-21,1
Miles Bridges,1998-03-21,2
Norm Cook,1955-03-21,2
Mike Dunleavy,1954-03-21,11
Johnny Ezersky,1922-03-21,3
Tarence Kinsey,1984-03-21,3
Doug Kistler,1938-03-21,1
Darius Miller,1990-03-21,5
Fabricio Oberto,1975-03-21,6
Vitaly Potapenko,1975-03-21,11
Steve Sheppard,1954-03-21,2
Scott Williams,1968-03-21,15
Vincent Yarbrough,1981-03-21,1
Shawn Bradley,1972-03-22,12
Marcus Camby,1974-03-22,17
Don Carlson,1919-03-22,4
Don Chaney,1946-03-22,12
Deng Gai,1982-03-22,1
Lamar Green,1947-03-22,6
Kevin Henderson,1964-03-22,2
John Konchar,1996-03-22,1
Ed Macauley*,1928-03-22,10
Chimezie Metu,1997-03-22,2
Sonny Parker,1955-03-22,6
Bob Portman,1947-03-22,4
Brian Shaw,1966-03-22,14
Edy Tavares,1992-03-22,2
Wayne Turner,1976-03-22,1
Taurean Waller-Prince,1994-03-22,4
Bobby Watson,1930-03-22,1
Michael Anderson,1966-03-23,1
Quinn Cook,1993-03-23,4
Joseph Forte,1981-03-23,2
Gordon Hayward,1990-03-23,10
Kyrie Irving,1992-03-23,9
Jeff Judkins,1956-03-23,5
Rich Kelley,1953-03-23,11
Jason Kidd*,1973-03-23,19
Norm Mager,1926-03-23,1
Moses Malone*,1955-03-23,21
Mel Peterson,1938-03-23,4
Charles Pittman,1958-03-23,4
Mickey Rottner,1919-03-23,2
David Vaughn,1973-03-23,4
Paul Walther,1927-03-23,6
Eric Washington,1974-03-23,2
Chris Bosh,1984-03-24,13
Marques Bragg,1970-03-24,1
T.J. Ford,1983-03-24,8
Bart Kofoed,1964-03-24,5
Larry Micheaux,1960-03-24,2
Bob Priddy,1930-03-24,1
Dexter Shouse,1963-03-24,1
Myles Turner,1996-03-24,5
Earl Williams,1951-03-24,4
Mike Woodson,1958-03-24,11
James Anderson,1989-03-25,5
Darrell Arthur,1988-03-25,9
Marco Belinelli,1986-03-25,13
Ken Boyd,1952-03-25,1
William Cunningham,1974-03-25,2
Dale Davis,1969-03-25,16
Dick Duckett,1933-03-25,1
Avery Johnson,1965-03-25,16
Grady Lewis,1917-03-25,3
Kyle Lowry,1986-03-25,14
Fernando Martín,1962-03-25,1
T.J. McConnell,1992-03-25,5
Lawrence Moten,1972-03-25,3
Dennis Nutt,1963-03-25,1
Bob Sura,1973-03-25,10
Adonis Thomas,1993-03-25,1
Jamel Thomas,1973-03-25,2
Andy Walker,1955-03-25,1
D.C. Wilcutt,1923-03-25,2
Leon Wood,1962-03-25,6
Ryan Arcidiacono,1994-03-26,3
Dave Batton,1956-03-26,2
Al Bianchi,1932-03-26,10
Joe Binion,1961-03-26,1
Uwe Blab,1962-03-26,5
Wayne Embry*,1937-03-26,11
Daniel Ewing,1983-03-26,2
Wenyen Gabriel,1997-03-26,1
Kyle O'Quinn,1990-03-26,8
John Stockton*,1962-03-26,19
Jack Thompson,1946-03-26,1
Justise Winslow,1996-03-26,5
Brad Wright,1962-03-26,2
Cory Blackwell,1963-03-27,1
Danny Fortson,1976-03-27,10
Tom Hammonds,1967-03-27,12
Žarko Paspalj,1966-03-27,1
Ed Pinckney,1963-03-27,12
Josh Selby,1991-03-27,2
Henry Sims,1990-03-27,4
Matt Steigenga,1970-03-27,1
Shayne Whittington,1991-03-27,2
Rick Barry*,1944-03-28,14
Chris Corchiani,1968-03-28,3
Pete Cross,1948-03-28,3
Aubrey Davis,1921-03-28,1
Len Elmore,1952-03-28,10
Marcus Georges-Hunt,1994-03-28,2
Derrick Gervin,1963-03-28,2
Justin Jackson,1995-03-28,3
Nick Jones,1945-03-28,5
Sam Lacey,1948-03-28,13
Ralph Lewis,1963-03-28,3
Kevin Loughery,1940-03-28,11
Jordan McRae,1991-03-28,4
Elliot Perry,1969-03-28,10
Wesley Person,1971-03-28,11
Byron Scott,1961-03-28,14
Jerry Sloan*,1942-03-28,11
Michael Smith,1972-03-28,7
Max Strus,1996-03-28,1
Bill Thieben,1935-03-28,2
Alexander Volkov,1964-03-28,2
Luke Walton,1980-03-28,10
Robert Archibald,1980-03-29,2
Wade Baldwin,1996-03-29,3
Ben Bentil,1995-03-29,1
Kay Felder,1995-03-29,2
Walt Frazier*,1945-03-29,13
Travis Leslie,1990-03-29,1
Samuel Little,1946-03-29,1
Carl Meinhold,1926-03-29,2
Dana Pagett,1949-03-29,1
Howie Rader,1921-03-29,1
Igor Rakočević,1978-03-29,1
Ed Ratleff,1950-03-29,5
Bob Schafer,1933-03-29,2
Glen Selbo,1926-03-29,1
Herschell Turner,1938-03-29,1
Dennis Wuycik,1950-03-29,3
Ron Baker,1993-03-30,3
Shaler Halimon,1945-03-30,5
Jaylen Hoard,1999-03-30,1
Jerry Lucas*,1940-03-30,11
LaRue Martin,1950-03-30,4
Ossie Schectman,1919-03-30,1
Admiral Schofield,1997-03-30,1
Don Barksdale*,1923-03-31,4
Cal Bowdler,1977-03-31,3
Dennis DuVal,1952-03-31,2
Armond Hill,1953-03-31,8
Charles Johnson,1949-03-31,7
David Lee,1942-03-31,2
DeAndre Liggins,1988-03-31,5
Mike Niles,1955-03-31,1
J.R. Reid,1968-03-31,11
Steve Smith,1969-03-31,14
David Vanterpool,1973-03-31,1
Gustavo Ayón,1985-04-01,3
Ken Bannister,1960-04-01,5
Tim Bassett,1951-04-01,7
Bobby Cook,1923-04-01,1
Erik Daniels,1982-04-01,1
Kevin Duckworth,1964-04-01,11
Antonis Fotsis,1981-04-01,1
Justin Hamilton,1990-04-01,3
Mark Jackson,1965-04-01,17
Brook Lopez,1988-04-01,12
Robin Lopez,1988-04-01,12
Mitchell Robinson,1998-04-01,2
Etan Thomas,1978-04-01,9
Norm Van Lier,1947-04-01,10
James Wilkes,1958-04-01,3
Gene Williams,1947-04-01,1
Larry Bergh,1945-04-02,1
Andris Biedriņš,1986-04-02,10
Bob Davis,1950-04-02,1
Larry Drew,1958-04-02,10
Nate Huffman,1975-04-02,1
Randy Livingston,1975-04-02,11
Phil Martin,1928-04-02,1
Jim McDaniels,1948-04-02,5
Isaiah Morris,1969-04-02,1
Chris Robinson,1974-04-02,2
Pascal Siakam,1994-04-02,4
Tamar Slay,1980-04-02,3
Marcus Brown,1974-04-03,2
Keith Closs,1976-04-03,3
Pervis Ellison,1967-04-03,11
Phil Farbman,1924-04-03,1
Thomas Hamilton,1975-04-03,2
Charles Jones,1957-04-03,15
Earl Lloyd*,1928-04-03,9
Frank Mason,1994-04-03,3
McCoy McLemore,1942-04-03,8
Michael Olowokandi,1975-04-03,9
Roger Schurig,1942-04-03,1
LaBradford Smith,1969-04-03,3
DeShawn Stevenson,1981-04-03,13
Hollis Thompson,1991-04-03,4
Logan Vander Velden,1971-04-03,1
Jarred Vanderbilt,1999-04-03,2
Derrick Walton,1995-04-03,2
John Windsor,1940-04-03,1
Bill Bridges,1939-04-04,13
Jack Cooley,1991-04-04,2
Rudy Fernández,1985-04-04,4
Ben Gordon,1983-04-04,11
Frank Kaminsky,1993-04-04,5
Rich King,1969-04-04,4
Bob Lackey,1949-04-04,2
Sean May,1984-04-04,4
Stanislav Medvedenko,1979-04-04,7
Larry Miller,1946-04-04,7
George Senesky,1922-04-04,8
Daniel Theis,1992-04-04,3
Hal Tidrick,1915-04-04,1
Anthony Tucker,1969-04-04,1
Steve Bardo,1968-04-05,3
Matt Bonner,1980-04-05,12
Mike Champion,1964-04-05,1
Vince Edwards,1996-04-05,1
Al Fleming,1954-04-05,1
Justin Holiday,1989-04-05,7
Stephen Jackson,1978-04-05,14
Mario Kasun,1980-04-05,2
Craig Raymond,1945-04-05,5
Pape Sy,1988-04-05,1
Skip Thoren,1943-04-05,3
Shammond Williams,1975-04-05,7
Bison Dele,1969-04-06,8
Spencer Dinwiddie,1993-04-06,6
Shelton Jones,1966-04-06,1
Louis King,1999-04-06,1
Oliver Miller,1970-04-06,9
Luis Montero,1993-04-06,2
John Shumate,1952-04-06,5
Dickey Simpkins,1972-04-06,7
Zaid Abdul-Aziz,1946-04-07,10
Thurl Bailey,1961-04-07,12
Art Burris,1924-04-07,2
Jim Fox,1943-04-07,10
Bo Lamar,1951-04-07,4
Tony Mitchell,1992-04-07,1
Petey Rosenberg,1918-04-07,1
Luke Zeller,1987-04-07,1
Paul Gordon,1927-04-08,1
Tommie Green,1956-04-08,1
John Havlicek*,1940-04-08,16
Larry Mikan,1948-04-08,1
J.J. O'Brien,1992-04-08,1
Ralph O'Brien,1928-04-08,2
Cedi Osman,1995-04-08,3
Terry Porter,1963-04-08,17
Jared Reiner,1982-04-08,2
Dario Šarić,1994-04-08,4
Jimmy Walker,1944-04-08,9
Paul Arizin*,1928-04-09,10
Allen Crabbe,1992-04-09,7
Bruce Douglas,1964-04-09,1
Jemerrio Jones,1995-04-09,1
Ryan Kelly,1991-04-09,4
Bo Kimble,1966-04-09,3
Stan Love,1949-04-09,4
Tyler Lydon,1996-04-09,2
Kyle Macy,1957-04-09,7
John McConathy,1930-04-09,1
Roderick McDonald,1945-04-09,3
Jordan McLaughlin,1996-04-09,1
Jack Nichols,1926-04-09,9
Jimmy O'Brien,1950-04-09,4
Željko Rebrača,1972-04-09,5
Don Savage,1928-04-09,2
Jeff Turner,1962-04-09,10
Vlatko Čančar,1997-04-10,1
Chuck Connors,1921-04-10,2
Ivan Johnson,1984-04-10,2
Mark Jones,1961-04-10,1
Reggie Lacefield,1945-04-10,1
Nerlens Noel,1994-04-10,6
Kenny Satterfield,1981-04-10,2
Terry Teagle,1960-04-10,11
Juan Toscano-Anderson,1993-04-10,1
Royce White,1991-04-10,1
Luis Flores,1981-04-11,1
Tremaine Fowlkes,1976-04-11,4
Ben Kelso,1949-04-11,1
Andrew Levane,1920-04-11,3
Whitey Martin,1939-04-11,1
Med Park,1933-04-11,5
Micheal Ray Richardson,1955-04-11,8
Ramon Sessions,1986-04-11,11
Dennis Stewart,1947-04-11,1
Larry Sykes,1973-04-11,1
Larry Cannon,1947-04-12,4
Frank Gates,1920-04-12,1
Paul Hoffman,1925-04-12,6
Brad Miller,1976-04-12,14
Dave Scholz,1948-04-12,1
Jim Smith,1958-04-12,2
Steven Smith,1983-04-12,1
Tyshawn Taylor,1990-04-12,2
David Thirdkill,1960-04-12,5
Jim Barnes,1941-04-13,7
Dana Barros,1967-04-13,14
Isaiah Briscoe,1996-04-13,1
Corey Crowder,1969-04-13,2
Baron Davis,1979-04-13,13
Dick Farley,1932-04-13,3
Rollen Hans,1931-04-13,2
Darrun Hilliard,1993-04-13,3
Tony Kappen,1919-04-13,1
Aaron Miles,1983-04-13,1
Leo Mogus,1921-04-13,4
Dermie O'Connell,1928-04-13,2
Bo Outlaw,1971-04-13,15
Alec Peters,1995-04-13,1
Quentin Richardson,1980-04-13,13
Sedric Toney,1962-04-13,5
Nick Vanos,1963-04-13,2
Marvin Webster,1952-04-13,10
Tony Wroten,1993-04-13,4
Phil Zevenbergen,1964-04-13,1
Art Collins,1954-04-14,1
Ron Crevier,1958-04-14,1
Larry Friend,1935-04-14,1
Mark Macon,1969-04-14,6
Stan Stutz,1920-04-14,3
Nikoloz Tskitishvili,1983-04-14,4
Rodney Carney,1984-04-15,5
Michael Cooper,1956-04-15,12
Anthony Grundy,1979-04-15,1
Travis Hansen,1978-04-15,1
Walt Hazzard,1942-04-15,10
Raül López,1980-04-15,2
Sergei Monia,1983-04-15,1
David Pope,1962-04-15,2
Marlon Redmond,1955-04-15,2
Anthony Roberts,1955-04-15,5
Otto Schnellbacher,1923-04-15,1
Mike Smith,1976-04-15,1
Cliff Williams,1945-04-15,1
Kareem Abdul-Jabbar*,1947-04-16,20
Cedric Ball,1968-04-16,1
John Block,1944-04-16,10
Wendell Carter,1999-04-16,2
Keon Clark,1975-04-16,6
Luol Deng,1985-04-16,15
Boris Diaw,1982-04-16,14
Isaac Fontaine,1975-04-16,1
Dave Gambee,1937-04-16,12
Reggie Jackson,1990-04-16,9
Rodney Monroe,1968-04-16,1
Russ Schoene,1960-04-16,4
Robert Whaley,1982-04-16,1
Walt Williams,1970-04-16,11
Marques Bolden,1998-04-17,1
Nicolas Claxton,1999-04-17,1
Andy Duncan,1922-04-17,3
Cleanthony Early,1991-04-17,2
Bato Govedarica,1928-04-17,1
Neil Johnson,1943-04-17,7
Leo Katkaveck,1923-04-17,2
Wayne Molis,1943-04-17,2
Juwan Morgan,1997-04-17,1
Geoff Petrie,1948-04-17,6
Kevin Porter,1950-04-17,10
Theo Ratliff,1973-04-17,16
Frank Russell,1949-04-17,1
Ed Searcy,1952-04-17,1
Daniel Sparks,1945-04-17,2
Horace Walker,1937-04-17,1
C.J. Watson,1984-04-17,10
Bojan Bogdanović,1989-04-18,6
Michael Bradley,1979-04-18,5
Tyrone Britt,1944-04-18,1
Sid Catlett,1948-04-18,1
Jim Creighton,1950-04-18,1
Jimmy Dawson,1945-04-18,1
Sundiata Gaines,1986-04-18,3
Taylor Griffin,1986-04-18,1
Gerald Madkins,1969-04-18,3
Eric McWilliams,1950-04-18,1
George Mearns,1922-04-18,2
Don Ohl,1936-04-18,10
Don Otten,1921-04-18,4
Ken Rohloff,1939-04-18,1
Scott Sims,1955-04-18,1
Awvee Storey,1977-04-18,3
Caleb Swanigan,1997-04-18,3
Luguentz Dort,1999-04-19,1
Keith Erickson,1944-04-19,12
Mike Evans,1955-04-19,9
Jack Foley,1939-04-19,1
Randolph Keys,1966-04-19,5
Dan McClintock,1977-04-19,1
Kelly Olynyk,1991-04-19,7
Scott Padgett,1976-04-19,8
Gabe Pruitt,1986-04-19,2
Eddie Robinson,1976-04-19,5
Wayne Robinson,1958-04-19,1
John Schweitz,1960-04-19,2
Russ Smith,1991-04-19,2
Ralph Drollinger,1954-04-20,1
Hank Finkel,1942-04-20,9
Danny Granger,1983-04-20,10
Allan Houston,1971-04-20,12
Ken Murray,1928-04-20,3
Lamond Murray,1973-04-20,11
Jarrett Allen,1998-04-21,3
Ricky Blanton,1966-04-21,1
Rich Dumas,1944-04-21,1
Gary Grant,1965-04-21,13
Glenn Hansen,1952-04-21,3
Tracy Jackson,1959-04-21,3
Chuck Mencel,1933-04-21,2
Dave Meyers,1953-04-21,4
Mark Olberding,1956-04-21,12
Gerald Paddio,1965-04-21,3
Rodney Stuckey,1986-04-21,10
Trooper Washington,1944-04-21,6
DeJuan Blair,1989-04-22,7
Bimbo Coles,1968-04-22,14
Dante Cunningham,1987-04-22,10
Red Davis,1932-04-22,1
Bill Garnett,1960-04-22,4
Harry Giles,1998-04-22,2
Spencer Haywood*,1949-04-22,13
Dennis Hopson,1965-04-22,5
Alize Johnson,1996-04-22,2
Shelvin Mack,1990-04-22,8
Bob McCann,1964-04-22,5
Darren Morningstar,1969-04-22,1
Marty Passaglia,1919-04-22,2
Duncan Robinson,1994-04-22,2
Charles Shackleford,1966-04-22,6
Phil Smith,1952-04-22,9
Donald Washington,1952-04-22,2
Peter Aluma,1973-04-23,1
John Bagley,1960-04-23,11
Carl Bailey,1958-04-23,1
Gail Goodrich*,1943-04-23,14
Mike Novak,1915-04-23,3
Ron Rowan,1962-04-23,1
Ernie Grunfeld,1955-04-24,9
Stan Kimbrough,1966-04-24,2
Dino Radja*,1967-04-24,4
Eric Snow,1973-04-24,13
Lance Thomas,1988-04-24,9
Jan Veselý,1990-04-24,3
Corey Williams,1970-04-24,2
Mark Bryant,1965-04-25,15
Derrick Byars,1984-04-25,1
Dave Corzine,1956-04-25,13
Tim Duncan*,1976-04-25,19
Khalid El-Amin,1979-04-25,1
Johnny High,1957-04-25,4
Johnny McCarthy,1934-04-25,6
Grady O'Malley,1948-04-25,1
Michael Stewart,1975-04-25,8
John Tschogl,1950-04-25,3
Donald Whiteside,1969-04-25,2
Bob Boozer,1937-04-26,11
Bert Cook,1929-04-26,1
Mark Davis,1973-04-26,5
Tellis Frank,1965-04-26,5
Harry Gallatin*,1927-04-26,10
Chandler Hutchison,1996-04-26,2
Butch Joyner,1945-04-26,1
Jim Marsh,1946-04-26,1
Ivan McFarlin,1982-04-26,1
Dick Miller,1958-04-26,1
Red Morrison,1932-04-26,3
Bill Smith,1939-04-26,1
Moritz Wagner,1997-04-26,2
Bill Wennington,1963-04-26,13
Delon Wright,1992-04-26,5
Courtney Alexander,1977-04-27,3
Al Beard,1942-04-27,1
Dexter Boney,1970-04-27,1
Mitch Creek,1992-04-27,1
George Gervin*,1952-04-27,14
Zendon Hamilton,1975-04-27,6
Daequan Cook,1987-04-28,6
Ed Earle,1927-04-28,1
LeRon Ellis,1969-04-28,3
John Fairchild,1943-04-28,4
John Greig,1961-04-28,1
Spencer Hawes,1988-04-28,10
Paul Hogue,1940-04-28,2
Josh Howard,1980-04-28,10
Chris Kaman,1982-04-28,13
Martin Lewis,1975-04-28,2
KZ Okpala,1999-04-28,1
Flynn Robinson,1941-04-28,8
James Southerland,1990-04-28,1
Hank Whitney,1939-04-28,3
Hank Williams,1952-04-28,1
Jeff Ayres,1987-04-29,6
Jake Ford,1946-04-29,2
Jason Hart,1978-04-29,9
Chris Johnson,1990-04-29,4
David Lee,1983-04-29,12
Xavier Rathan-Mayes,1994-04-29,1
God Shammgod,1976-04-29,1
Brandon Bass,1985-04-30,12
Marty Byrnes,1956-04-30,4
Ron Cavenall,1959-04-30,2
Bob Knight,1929-04-30,1
T.J. Leaf,1997-04-30,3
Brandon Paul,1991-04-30,1
Quinton Ross,1981-04-30,7
Luis Scola,1980-04-30,10
Paul Scranton,1944-04-30,1
Isiah Thomas*,1961-04-30,13
B.J. Tyler,1971-04-30,1
Rick Weitzman,1946-04-30,1
Frankie Brian,1923-05-01,7
Barry Clemens,1943-05-01,11
Austin Croshere,1975-05-01,12
Ron Davis,1954-05-01,3
Jerome Dyson,1987-05-01,1
Amir Johnson,1987-05-01,14
Eddie Johnson,1959-05-01,17
Rock Lee,1955-05-01,1
George Lehmann,1942-05-01,7
Julius Nwosu,1971-05-01,1
Barry Orms,1946-05-01,2
Billy Owens,1969-05-01,10
Jim Owens,1950-05-01,2
Brandon Sampson,1997-05-01,1
Craig Shelton,1957-05-01,2
Brian Cardinal,1977-05-02,12
Melvin Ely,1978-05-02,9
Paul George,1990-05-02,10
Roy Hinson,1961-05-02,8
John Morrison,1945-05-02,1
Troy Murphy,1980-05-02,12
Thabo Sefolosha,1984-05-02,14
Red Stroud,1941-05-02,1
Leonard Taylor,1966-05-02,1
Jim Ware,1944-05-02,3
Maalik Wayns,1991-05-02,2
Jamaal Wilkes*,1953-05-02,12
Nate Williams,1950-05-02,8
Jack Dwan,1921-05-03,1
Joe Ellis,1944-05-03,8
Gar Heard,1948-05-03,11
Jeff Hornacek,1963-05-03,14
Toby Knight,1955-05-03,4
Tyronn Lue,1977-05-03,11
